Account,Day,Campaign,Ad group,Ad group state,Clicks,Impressions,CTR,Avg. CPC,Cost
Total, --, --, --, --,39455,794928,4.96%,0.43,"16,770.95"
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08ff-12,USA_EN_03_P_OccasionsGifts_LTG000_oo_oo_S_A#11,LONG35_1,enabled,19,875,2.1.7%,0.42,8.04
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_1,enabled,10,817,1.22%,0.23,2.30
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_2,enabled,13,636,2.04%,0.34,4.48
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG25_3,enabled,29,1024,2.83%,0.33,9.66
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG35_1,enabled,422,6697,6.30%,0.26,108.60
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_SportsFitness_LTG000_oo_oo_S_A#11,LONG35_2,enabled,79,1032,7.66%,0.27,21.05
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_TravelTourism_LTG000_oo_oo_S_A#9,LONG25_1,enabled,59,2128,2.77%,0.48,28.13
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_TravelTourism_LTG000_oo_oo_S_A#9,LONG35_1,enabled,81,1741,4.65%,0.58,47.19
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_TravelTourism_LTG000_oo_oo_S_A#9,LONG35_2,enabled,162,3852,4.21%,0.57,91.60
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_2,enabled,23,1073,2.14%,0.42,9.76
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Vehicles_LTG000_oo_oo_S_A#10,LONG25_3,enabled,35,1478,2.37%,0.42,14.86
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Vehicles_LTG000_oo_oo_S_A#10,LONG35_3,enabled,57,1078,5.29%,0.41,23.42
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Apparel_LTG000_oo_oo_S_A#11,LONG35_4,enabled,1,26,3.85%,0.63,0.63
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_BusinessIndustrial_LTG000_oo_oo_S_A#1,LONG35_3,enabled,78,1917,4.07%,0.40,30.95
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG35_1,enabled,23,702,3.28%,0.39,8.91
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_ComputersConsumerElectronics_LTG000_oo_oo_S_A#11,LONG35_2,enabled,22,675,3.26%,0.38,8.47
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Finance_LTG000_oo_oo_S_A#2,LONG35_1,enabled,470,5489,8.56%,0.47,222.99
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Health_LTG000_oo_oo_S_A#3,LONG35_1,enabled,542,8087,6.70%,0.58,312.44
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_Health_LTG000_oo_oo_S_A#3,LONG35_2,enabled,617,8241,7.49%,0.46,283.31
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_JobsEducation_LTG000_oo_oo_S_A#6,LONG35_1,enabled,94,2884,3.26%,0.37,35.07
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_03_P_LawGovernment_LTG000_oo_oo_S_A#11,LONG35_1,enabled,435,7277,5.98%,0.38,164.70
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_Apparel_LTG000_oo_oo_S_A#11,LONG25_2,enabled,5,177,2.82%,0.32,1.59
USA_HKD_006_P_A_SC_ENZ_SEA_000,2016-08-12,USA_EN_04_P_Apparel_LTG000_oo_oo_S_A#11,LONG25_6,enabled,1,183,0.55%,0.24,0.24
