Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
0194D;2013-05-07;23.8;17:10;14.9;00:10;19.3;32;14:20;12;16:00;0;0;0;0;0
0194D;2013-05-08;25.9;12:50;15.2;00:40;20.5;33;14:00;10;16:30;0;0;0;0;0
0194D;2013-05-09;23.0;18:40;14.2;07:20;;19;19:00;9;19:10;;0;0;0;
0194D;2013-05-10;21.6;19:00;12.6;07:20;;31;17:00;10;15:40;;;;;
0194D;2013-05-11;22.0;16:50;10.1;07:20;;32;17:50;10;18:00;;;0;0;0
0194D;2013-05-12;21.5;13:10;10.1;06:40;15.8;25;17:30;11;19:50;0;0;0;0;0
0194D;2013-05-13;20.9;14:00;8.0;07:00;14.4;22;18:50;11;18:40;0;0;0;0;0
0194D;2013-05-14;22.8;14:20;8.8;06:10;15.8;17;18:30;7;18:30;0;0;0;0;0
0194D;2013-05-15;17.6;10:00;10.2;22:40;13.9;36;13:50;8;13:40;1;0;0;0.6;0.4
0194D;2013-05-16;17.7;15:10;7.6;23:59;12.7;31;20:50;12;21:50;22;0;0;0.2;21.8
0194D;2013-05-17;16.0;14:40;4.7;06:50;10.3;38;18:10;16;18:10;1;0.2;0.6;0.2;0
0194D;2013-05-18;18.1;13:20;6.3;06:20;12.2;42;16:40;15;16:40;0;0;0;0;0
0194D;2013-05-19;17.7;16:20;9.3;05:40;;28;12:30;9;13:30;;8;0.4;;
0194D;2013-05-20;15.9;14:00;6.2;04:00;11;30;13:30;13;13:20;7;0;0;0.2;6.8
0194D;2013-05-21;14.2;11:40;6.6;01:10;10.4;23;19:00;7;18:20;1.4;0;0.2;1.2;0
0194D;2013-05-22;18.8;14:50;6.8;02:20;12.8;36;16:10;11;13:00;0;0;0;0;0
0194D;2013-05-23;21.4;18:20;7.6;05:50;14.5;39;18:50;13;17:00;0;0;0;0;0
0194D;2013-05-24;20.9;16:30;8.5;06:30;14.7;35;13:30;12;18:30;0;0;0;0;0
0194D;2013-05-25;17.5;12:20;5.4;05:50;11.5;39;16:10;14;18:00;0;0;0;0;0
0194D;2013-05-26;18.1;14:30;4.7;06:00;11.4;30;16:10;14;16:10;0;0;0;0;0
0194D;2013-05-27;18.2;14:50;7.1;03:00;12.7;31;14:30;14;14:30;0;0;0;0;0
0194D;2013-05-28;18.9;18:00;7.3;06:00;;35;18:30;13;16:50;;0;0.2;;0
0194D;2013-05-29;19.2;11:20;7.8;23:50;13.5;49;12:50;19;17:00;0;0;0;0;0
0194D;2013-05-30;16.1;18:20;6.3;05:20;11.2;37;18:30;17;18:00;0;0;0;0;0
0194D;2013-05-31;18.0;12:50;5.1;06:20;11.5;37;13:20;11;15:30;0;0;0;0;0
0194D;2013-06-01;18.8;17:10;7.7;07:00;13.2;44;11:30;14;12:50;0;0;0;0;0
0194D;2013-06-02;23.3;18:10;10.6;05:10;16.9;28;12:30;9;20:40;0;0;0;0;0
0194D;2013-06-03;24.5;13:40;9.5;07:20;17;31;18:30;15;18:00;0;0;0;0;0
0194D;2013-06-04;23.9;13:10;10.4;06:20;17.1;33;16:50;13;16:20;0;0;0;0;0
0194D;2013-06-05;24.1;14:50;12.2;04:50;18.2;31;16:50;14;17:20;0;0;0;0;0
0194D;2013-06-06;25.2;13:40;13.7;03:50;19.5;32;15:20;13;15:50;0;0;0;0;0
0194D;2013-06-07;25.5;11:50;14.2;03:20;19.8;26;13:40;12;12:40;0;0;0;0;0
0194D;2013-06-08;20.2;15:00;8.5;10:10;14.4;53;16:50;17;16:50;17.8;0;17.8;0;0
0194D;2013-06-09;18.1;12:00;11.6;04:20;14.9;29;13:10;12;14:20;0.2;0;0;0.2;0
0194D;2013-06-10;23.8;15:10;9.8;05:50;16.8;28;18:00;14;18:00;0;0;0;0;0
0194D;2013-06-11;27.5;13:40;13.8;01:20;20.7;29;13:40;11;14:00;0;0;0;0;0
0194D;2013-06-12;27.4;14:40;15.6;05:00;21.5;28;18:20;13;18:20;0;0;0;0;0
0194D;2013-06-13;29.6;12:50;16.1;23:59;22.9;27;13:40;13;16:20;0;0;0;0;0
0194D;2013-06-14;27.4;14:30;14.4;02:10;20.9;25;14:50;11;18:30;0;0;0;0;0
0194D;2013-06-15;29.8;13:30;17.4;05:00;23.6;27;14:20;12;19:40;0;0;0;0;0
0194D;2013-06-16;30.7;13:30;16.5;23:59;23.6;28;16:40;13;14:50;0;0;0;0;0
0194D;2013-06-17;27.1;13:50;15.6;04:40;21.4;40;15:20;18;14:20;0;0;0;0;0
0194D;2013-06-18;22.2;15:40;16.7;06:10;19.5;30;16:10;14;16:30;0.6;0.2;0;0;0.4
0194D;2013-06-19;23.0;13:20;11.2;05:50;17.1;24;18:30;9;19:10;0;0;0;0;0
0194D;2013-06-20;23.6;18:40;11.9;07:10;17.8;30;17:40;11;17:20;0;0;0;0;0
