Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1696O;2013-05-07;14.8;15:40;10.3;22:30;12.6;24;16:00;13;17:40;13.6;9.4;1.6;0.4;2.2
1696O;2013-05-08;18.2;18:20;10.2;00:20;14.2;27;18:30;12;18:40;2.8;2;0.8;0;0
1696O;2013-05-09;14.6;19:20;7.3;23:59;11;20;14:50;7;14:20;6.6;3.6;2.8;0.2;0
1696O;2013-05-10;18.7;16:20;1.0;07:40;9.9;23;20:10;13;20:10;0;0;0;0;0
1696O;2013-05-11;17.4;17:00;-1.2;07:40;8.1;27;17:40;10;01:10;0;0;0;0;0
1696O;2013-05-12;21.1;17:40;1.6;06:30;11.4;23;17:50;10;15:40;0;0;0;0;0
1696O;2013-05-13;24.7;16:50;1.1;07:40;12.9;24;19:30;9;19:40;0;0;0;0;0
1696O;2013-05-14;15.7;13:20;3.5;07:40;9.6;30;16:50;17;16:50;2.4;0;0;0;2.4
1696O;2013-05-15;13.9;17:50;2.3;08:00;8.1;34;18:30;17;18:30;4.6;4.4;0;0.2;0
1696O;2013-05-16;8.4;18:40;2.3;03:50;5.3;29;15:50;13;15:50;14.6;0.2;2.6;6;5.8
1696O;2013-05-17;9.8;14:00;3.6;07:20;6.7;33;16:40;13;18:50;9.6;3;3;2.2;1.4
1696O;2013-05-18;10.5;14:00;3.3;23:59;6.9;44;16:00;19;16:00;5;1.4;1.4;2.2;0
1696O;2013-05-19;16.1;13:20;4.6;05:40;;30;17:50;15;17:50;;0;0;;
1696O;2013-05-20;16.3;16:10;-0.6;07:30;7.8;24;21:10;11;21:10;0;0;0;0;0
1696O;2013-05-21;18.9;17:50;-0.1;07:50;9.4;25;19:00;12;18:00;0;0;0;0;0
1696O;2013-05-22;21.5;18:00;2.9;05:40;12.2;29;16:40;10;13:40;0;0;0;0;0
1696O;2013-05-23;20.4;17:10;4.7;03:10;12.5;28;18:40;10;13:30;0;0;0;0;0
1696O;2013-05-24;19.8;17:20;2.9;07:10;11.3;30;16:00;10;15:20;0;0;0;0;0
1696O;2013-05-25;22.0;18:20;2.6;05:50;12.3;25;19:20;10;17:50;0;0;0;0;0
1696O;2013-05-26;17.9;17:40;4.5;06:20;11.2;24;18:00;13;18:00;0;0;0;0;0
1696O;2013-05-27;16.2;14:20;0.9;05:30;8.6;32;20:10;18;18:00;0.6;0;0;0;0.6
1696O;2013-05-28;11.7;15:30;5.3;07:40;8.5;37;13:40;20;13:40;7.6;3.4;0.8;2.2;1.2
1696O;2013-05-29;11.2;18:10;5.6;02:00;8.4;39;19:50;17;19:50;10.2;3.2;2.2;4.4;0.4
1696O;2013-05-30;16.6;18:20;5.8;00:40;11.2;31;15:50;15;14:20;0.2;0.2;0;0;0
1696O;2013-05-31;19.2;17:30;6.4;02:30;12.8;31;15:30;10;13:30;0;0;0;0;0
1696O;2013-06-01;20.5;17:30;4.3;06:30;12.4;27;21:50;9;13:30;0;0;0;0;0
1696O;2013-06-02;22.8;17:40;5.3;07:50;14;31;20:00;10;15:50;0;0;0;0;0
1696O;2013-06-03;25.9;19:30;2.7;07:00;14.3;25;21:20;11;18:10;0;0;0;0;0
1696O;2013-06-04;26.7;16:30;4.1;07:20;15.4;24;20:30;12;20:30;0;0;0;0;0
1696O;2013-06-05;24.0;14:30;6.1;06:50;15;32;16:40;16;16:40;0;0;0;0;0
1696O;2013-06-06;16.5;15:40;5.2;04:30;10.8;35;17:40;17;18:50;0;0;0;0;0
1696O;2013-06-07;15.7;17:00;5.3;07:20;10.5;34;15:10;17;15:10;6.2;0;0;6.2;0
1696O;2013-06-08;12.4;16:30;6.1;02:40;9.2;17;17:40;9;19:20;0.8;0;0;0;0.8
1696O;2013-06-09;16.9;15:40;10.3;00:10;13.6;27;18:20;14;18:50;0.2;0.2;0;0;0
1696O;2013-06-10;13.3;14:40;10.6;03:40;12;27;16:10;14;16:20;0;0;0;0;0
1696O;2013-06-11;16.9;18:20;10.9;01:40;13.9;26;15:50;13;20:30;2;1;1;0;0
1696O;2013-06-12;19.6;18:10;6.1;07:00;12.9;31;15:20;17;15:20;0;0;0;0;0
1696O;2013-06-13;21.8;20:00;10.9;23:59;16.3;22;17:40;8;16:10;1.2;0.2;1;0;0
1696O;2013-06-14;21.5;14:40;4.0;07:10;12.8;32;15:50;17;17:50;0;0;0;0;0
1696O;2013-06-15;24.5;16:30;10.8;00:00;17.7;24;20:30;13;20:10;0;0;0;0;0
1696O;2013-06-16;16.5;14:40;5.2;07:20;10.8;27;14:20;15;15:50;11.4;0;0;0;11.4
1696O;2013-06-17;12.9;00:00;6.3;07:50;9.6;32;15:20;16;13:40;14;3.2;0.2;3.6;7
1696O;2013-06-18;17.7;15:30;4.7;08:00;11.2;30;17:10;15;17:10;1.6;0.2;0;0;1.4
1696O;2013-06-19;14.5;14:10;9.0;23:59;11.8;32;17:00;16;17:00;2.4;1.4;0.8;0.2;0
1696O;2013-06-20;17.1;14:20;5.7;08:20;11.4;22;16:10;12;16:10;1.6;0;0;0.2;1.4
1696O;2013-06-21;19.9;18:00;10.3;23:59;15.1;27;17:30;14;17:30;1.6;0.8;0.8;0;0
1696O;2013-06-22;23.8;14:40;4.0;07:10;13.9;27;19:20;15;19:30;0;0;0;0;0
1696O;2013-06-23;21.4;17:50;7.6;07:30;14.5;28;13:40;9;22:20;0;0;0;0;0
1696O;2013-06-24;27.0;17:20;2.0;07:30;14.5;25;21:40;8;17:20;0;0;0;0;0
1696O;2013-06-25;28.3;17:10;4.1;07:30;16.2;27;19:50;9;20:00;0;0;0;0;0
1696O;2013-06-26;28.6;16:50;5.8;07:40;17.2;26;21:00;9;14:50;0;0;0;0;0
1696O;2013-06-27;27.4;17:20;6.4;07:50;16.9;31;00:20;8;18:50;0;0;0;0;0
1696O;2013-06-28;27.5;16:50;5.1;07:30;16.3;31;22:00;9;17:50;0;0;0;0;0
1696O;2013-06-29;31.1;18:00;5.8;07:40;18.5;26;20:30;13;15:40;0;0;0;0;0
1696O;2013-06-30;31.7;17:20;8.0;07:20;19.9;21;19:00;10;17:30;0;0;0;0;0
1696O;2013-07-01;24.8;19:00;7.3;07:50;16;24;13:40;12;18:10;0;0;0;0;0
1696O;2013-07-02;25.7;18:20;12.0;02:10;18.9;32;18:30;14;18:30;0;0;0;0;0
1696O;2013-07-03;28.7;18:30;12.1;08:00;20.4;24;18:20;9;15:40;0;0;0;0;0
1696O;2013-07-04;33.4;17:30;10.5;08:00;22;19;18:10;8;18:40;0;0;0;0;0
1696O;2013-07-05;36.0;19:20;10.4;06:50;23.2;17;20:20;10;14:30;0;0;0;0;0
1696O;2013-07-06;36.5;17:00;13.0;07:10;24.8;20;23:00;9;18:40;;0;0;0;
1696O;2013-07-07;36.0;16:20;13.1;07:10;24.6;23;20:30;10;14:00;0;0;0;0;0
1696O;2013-07-08;35.9;17:30;11.7;07:10;23.8;19;18:40;10;20:40;0;0;0;0;0
1696O;2013-07-09;32.7;15:50;13.0;07:00;22.9;24;17:40;14;18:20;0;0;0;0;0
1696O;2013-07-10;31.3;16:50;11.3;07:20;21.3;20;20:00;9;17:40;0;0;0;0;0
1696O;2013-07-11;32.5;16:10;12.6;07:30;22.6;33;18:40;18;19:00;1.2;0;0;0;1.2
1696O;2013-07-12;32.3;16:10;13.0;07:20;22.6;28;18:50;13;18:50;0;0;0;0;0
1696O;2013-07-13;28.6;17:00;14.5;23:59;21.6;51;20:20;23;20:30;0;0;0;0;0
1696O;2013-07-14;31.2;17:50;10.6;07:50;20.9;38;20:00;13;20:00;0;0;0;0;0
1696O;2013-07-15;34.7;19:00;15.8;07:50;;20;18:40;10;20:50;;0;0;0;
1696O;2013-07-16;30.1;17:30;11.4;07:40;20.8;20;17:20;9;19:30;0;0;0;0;0
1696O;2013-07-17;31.7;17:20;9.7;07:30;20.7;23;19:20;13;16:30;0;0;0;0;0
1696O;2013-07-18;32.3;17:40;5.5;06:50;18.9;20;17:30;11;15:40;0;0;0;0;0
1696O;2013-07-19;28.3;18:20;12.3;07:10;20.3;25;17:30;13;16:00;0;0;0;0;0
1696O;2013-07-20;26.5;19:10;10.0;07:20;18.3;29;16:30;14;16:30;0;0;0;0;0
1696O;2013-07-21;26.0;17:40;9.0;06:50;17.5;23;19:10;15;16:10;0;0;0;0;0
1696O;2013-07-22;23.8;14:40;8.0;07:30;15.9;22;15:40;12;15:40;0;0;0;0;0
1696O;2013-07-23;25.4;16:20;7.7;07:40;16.5;30;15:30;15;17:40;0;0;0;0;0
1696O;2013-07-24;23.4;17:50;9.2;06:50;16.3;31;17:20;17;17:10;0;0;0;0;0
1696O;2013-07-25;22.1;17:10;11.0;23:59;16.6;33;17:50;17;15:40;0;0;0;0;0
1696O;2013-07-26;22.2;15:40;7.3;07:40;14.8;30;18:10;15;18:00;0;0;0;0;0
1696O;2013-07-27;20.3;15:50;9.5;07:00;14.9;40;16:40;17;17:00;0;0;0;0;0
1696O;2013-07-28;18.0;16:10;12.9;02:40;15.4;30;13:40;14;13:30;21.8;5.2;0.8;7.2;8.6
1696O;2013-07-29;20.7;19:10;11.4;23:59;16.1;26;16:20;15;17:20;0;0;0;0;0
1696O;2013-07-30;29.1;18:00;5.5;07:20;17.3;18;15:50;8;16:10;0;0;0;0;0
1696O;2013-07-31;29.5;17:00;10.6;07:20;20.1;28;16:30;16;16:30;0;0;0;0;0
1696O;2013-08-01;26.0;16:50;6.6;07:40;16.3;33;16:00;17;16:40;0.4;0;0;0;0.4
1696O;2013-08-02;19.9;15:20;13.6;23:59;16.8;40;16:00;23;16:00;0.8;0;0.2;0;0.6
1696O;2013-08-03;23.2;17:40;9.7;08:40;16.5;24;14:30;13;17:50;0.2;0;0.2;0;0
1696O;2013-08-04;27.4;16:10;5.6;07:50;16.5;26;18:00;14;19:00;0;0;0;0;0
1696O;2013-08-05;24.8;17:20;10.7;07:00;17.7;27;19:30;14;19:30;0;0;0;0;0
1696O;2013-08-06;23.3;15:20;10.3;04:50;16.8;31;18:50;17;18:50;0;0;0;0;0
1696O;2013-08-07;20.1;17:30;5.8;05:00;13;33;17:50;17;17:50;2.2;0;0.6;1.4;0.2
1696O;2013-08-08;25.3;17:30;10.4;01:50;17.8;27;16:00;12;17:10;0;0;0;0;0
1696O;2013-08-09;31.3;16:40;5.7;07:50;18.5;28;19:50;12;19:50;0;0;0;0;0
1696O;2013-08-10;33.8;16:30;10.0;08:30;21.9;22;20:20;8;20:00;0;0;0;0;0
1696O;2013-08-11;35.3;16:50;10.8;07:40;23;24;19:10;9;17:50;0;0;0;0;0
1696O;2013-08-12;27.9;15:40;13.1;07:40;20.5;27;19:00;11;16:40;0;0;0;0;0
1696O;2013-08-13;28.8;16:30;13.0;07:50;20.9;24;15:50;10;15:50;0;0;0;0;0
1696O;2013-08-14;36.9;18:40;15.1;08:10;;23;21:30;9;15:00;;0;0;0;
1696O;2013-08-15;27.0;15:40;12.2;07:20;;21;14:30;12;14:30;;;;;
1696O;2013-08-16;27.9;17:30;13.0;07:50;20.4;29;14:30;13;18:10;0;0;0;0;0
1696O;2013-08-17;28.7;16:00;8.6;07:00;18.7;25;20:20;13;19:50;0;0;0;0;0
1696O;2013-08-18;28.9;17:50;9.3;08:10;19.1;25;18:10;13;20:00;0;0;0;0;0
1696O;2013-08-19;29.9;16:30;12.1;07:00;21;25;20:50;9;17:10;0;0;0;0;0
1696O;2013-08-20;35.2;18:20;6.8;07:50;21;19;00:20;9;14:10;0;0;0;0;0
1696O;2013-08-21;34.0;16:10;9.6;07:50;21.8;31;17:20;16;18:30;0;0;0;0;0
1696O;2013-08-22;26.0;17:00;11.8;05:10;18.9;28;14:40;12;15:00;0;0;0;0;0
1696O;2013-08-23;28.4;16:00;12.6;03:50;20.5;32;18:10;16;17:50;0;0;0;0;0
1696O;2013-08-24;24.7;17:00;10.4;07:50;17.6;28;14:30;10;16:40;0;0;0;0;0
1696O;2013-08-25;25.7;16:20;7.4;05:10;16.6;27;23:00;12;13:20;0;0;0;0;0
1696O;2013-08-26;25.7;17:40;12.3;04:30;19;29;17:20;8;13:40;0;0;0;0;0
1696O;2013-08-27;28.7;16:30;6.8;08:20;17.8;27;19:20;10;17:40;0;0;0;0;0
1696O;2013-08-28;28.2;16:40;8.9;08:40;18.6;28;18:50;10;14:30;0;0;0;0;0
1696O;2013-08-29;28.8;17:50;6.6;07:20;17.7;24;20:20;12;16:40;0;0;0;0;0
1696O;2013-08-30;30.4;17:50;5.8;08:00;18.1;21;21:40;7;14:10;0;0;0;0;0
1696O;2013-08-31;31.3;17:40;5.5;07:50;18.4;27;19:10;10;22:50;0;0;0;0;0
1696O;2013-09-01;33.6;18:10;7.2;08:00;20.4;29;21:30;9;17:20;0;0;0;0;0
1696O;2013-09-02;32.9;15:40;8.2;08:00;20.6;22;20:40;11;20:00;0;0;0;0;0
1696O;2013-09-03;33.4;16:50;9.6;08:10;21.5;27;19:20;14;19:30;0;0;0;0;0
1696O;2013-09-04;32.6;15:20;8.8;07:30;20.7;25;17:20;13;16:40;0;0;0;0;0
1696O;2013-09-05;20.1;16:40;13.7;08:20;16.9;21;03:00;10;06:40;2.8;0.2;2.6;0;0
1696O;2013-09-06;20.5;14:40;8.3;07:30;14.4;30;17:10;15;17:10;0;0;0;0;0
1696O;2013-09-07;20.9;17:50;6.9;23:59;13.9;26;16:30;12;17:00;0;0;0;0;0
1696O;2013-09-08;24.4;17:30;2.8;08:30;13.6;18;18:50;9;17:00;0;0;0;0;0
