Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
1738U;2013-05-07;15.4;16:10;9.0;23:00;12.2;33;18:10;17;18:20;6.4;2.4;0.8;0.2;3
1738U;2013-05-08;17.5;18:20;9.1;06:10;13.3;26;16:20;15;05:30;8.2;6.8;1.4;0;0
1738U;2013-05-09;16.7;17:00;10.2;23:59;13.5;22;19:00;11;18:50;5.4;0.6;4.6;0.2;0
1738U;2013-05-10;18.6;17:20;4.3;07:50;11.5;28;21:20;17;21:30;0;0;0;0;0
1738U;2013-05-11;18.1;17:40;2.0;07:30;10.1;31;17:00;16;17:20;0;0;0;0;0
1738U;2013-05-12;20.9;16:40;4.3;08:10;12.6;29;20:20;18;20:10;0;0;0;0;0
1738U;2013-05-13;23.8;16:50;5.9;07:40;14.8;27;21:00;15;21:00;0;0;0;0;0
1738U;2013-05-14;19.7;15:40;6.3;07:00;13;38;17:30;21;17:40;0;0;0;0;0
1738U;2013-05-15;13.3;17:40;4.1;08:40;8.7;39;12:10;21;20:40;5.8;5.8;0;0;0
1738U;2013-05-16;8.5;11:30;2.7;07:40;5.6;32;15:00;14;14:40;10.8;0;0;5.6;5.2
1738U;2013-05-17;10.4;16:40;2.3;08:00;6.3;40;19:50;20;14:20;7.2;2.6;3.6;1;0
1738U;2013-05-18;11.2;16:20;4.3;23:40;7.8;40;11:40;23;16:20;4;0;0.2;0.4;3.4
1738U;2013-05-19;13.0;15:40;3.4;07:00;;42;16:10;21;16:10;;0;0;;
1738U;2013-05-20;15.6;17:30;2.6;03:10;9.1;28;17:30;15;18:20;0;0;0;0;0
1738U;2013-05-21;19.1;18:20;3.4;07:50;11.3;28;18:20;15;20:30;0;0;0;0;0
1738U;2013-05-22;21.5;17:50;4.6;06:40;13;33;17:10;19;18:50;0;0;0;0;0
1738U;2013-05-23;20.2;16:40;4.0;07:30;12.1;37;19:30;21;18:50;0;0;0;0;0
