Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
3110C;2013-05-07;18.7;18:40;10.4;04:10;14.6;35;04:50;14;05:00;0;0;0;0;0
3110C;2013-05-08;20.3;13:20;9.7;23:59;15;30;16:30;16;16:20;0;0;0;0;0
3110C;2013-05-09;18.7;14:30;6.6;04:10;12.7;24;19:10;14;20:20;2.3;0;0;2.2;0.1
3110C;2013-05-10;19.2;15:20;9.8;07:00;14.5;30;20:20;15;20:00;0.1;0;0.1;0;0
3110C;2013-05-11;19.1;16:40;4.1;06:20;11.6;31;16:50;19;17:40;0;0;0;0;0
3110C;2013-05-12;21.1;17:30;1.7;07:40;11.4;24;17:40;12;00:20;0;0;0;0;0
3110C;2013-05-13;21.4;15:20;1.6;06:00;;24;21:40;8;21:40;;0;;;
3110C;2013-05-14;19.2;18:20;6.0;07:30;;39;18:50;13;18:50;;;;;
3110C;2013-05-15;10.4;01:10;0.5;23:59;;40;07:20;13;07:20;;;3.7;0.1;0
3110C;2013-05-16;11.8;18:30;-0.5;06:00;5.7;29;17:40;15;12:40;0;0;0;0;0
3110C;2013-05-17;7.4;11:20;1.4;23:40;4.4;26;12:00;17;12:00;8.9;0.4;1.1;6.5;0.9
3110C;2013-05-18;9.0;15:10;1.8;00:00;5.4;47;19:20;18;19:20;3.5;0.4;1.8;1;0.3
3110C;2013-05-19;9.8;14:50;3.2;05:10;6.5;29;05:40;15;01:40;0.2;0.1;0;0;0.1
3110C;2013-05-20;13.0;19:30;0.2;06:20;6.6;28;13:20;12;10:40;0;0;0;0;0
3110C;2013-05-21;11.9;14:00;-0.7;05:50;5.6;38;20:00;18;23:40;0.2;0.1;0;0.1;0
3110C;2013-05-22;16.3;17:30;4.3;06:20;10.3;46;10:30;24;12:50;0;0;0;0;0
3110C;2013-05-23;15.9;18:30;5.0;06:30;10.4;44;06:50;23;13:40;0;0;0;0;0
3110C;2013-05-24;16.5;17:00;4.4;06:40;10.5;42;13:30;22;14:00;0;0;0;0;0
3110C;2013-05-25;18.6;17:30;2.9;07:10;10.8;32;11:30;15;11:30;0;0;0;0;0
3110C;2013-05-26;19.0;15:10;1.2;06:20;10.1;41;17:20;22;17:40;5.8;0;0;0;5.8
3110C;2013-05-27;15.8;19:20;6.7;23:40;11.3;31;14:40;17;14:40;6.6;3.2;0.1;1.9;1.4
3110C;2013-05-28;13.9;18:00;4.8;02:10;9.3;50;16:30;19;12:20;1;0.5;0.3;0.1;0.1
3110C;2013-05-29;13.9;17:20;3.7;08:20;8.8;51;15:40;25;19:30;2.1;0;0;0;2.1
3110C;2013-05-30;15.2;17:40;1.6;05:20;8.4;39;14:20;21;14:30;2.8;1.9;0.9;0;0
3110C;2013-05-31;13.9;17:00;4.6;02:10;9.2;59;16:10;22;16:20;0;0;0;0;0
