Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
4095Y;2013-05-07;25.6;17:50;11.0;07:40;18.3;27;14:40;13;19:30;0;0;0;0;0
4095Y;2013-05-08;26.6;15:30;12.7;07:20;19.7;24;18:00;13;17:50;0;0;0;0;0
4095Y;2013-05-09;27.5;16:20;13.8;06:50;20.7;37;17:50;19;18:30;0;0;0;0;0
4095Y;2013-05-10;26.1;15:40;12.5;07:40;19.3;27;13:50;11;15:00;0;0;0;0;0
4095Y;2013-05-11;25.8;18:20;11.2;08:00;18.5;26;16:40;11;17:30;0;0;0;0;0
4095Y;2013-05-12;24.7;18:30;12.3;06:40;18.5;31;15:20;17;23:59;0;0;0;0;0
4095Y;2013-05-13;25.7;18:40;12.6;06:40;19.2;37;08:10;20;09:40;0.2;0;0;0;0.2
4095Y;2013-05-14;22.9;15:40;13.1;07:10;18;35;19:30;17;19:10;1.2;0;0.6;0;0.6
4095Y;2013-05-15;15.8;12:30;7.5;23:59;11.7;33;11:40;17;11:50;1.2;0.8;0;0.4;0
4095Y;2013-05-16;15.7;14:50;3.9;06:00;9.8;46;18:00;26;15:40;1;0;0;0.2;0.8
4095Y;2013-05-17;11.0;12:10;6.4;23:30;8.7;36;11:20;20;11:10;10.6;0;3.4;3;4.2
4095Y;2013-05-18;11.7;16:40;5.2;05:20;8.4;40;16:10;21;16:10;16;1.8;1.4;7.2;5.6
4095Y;2013-05-19;14.0;17:00;3.0;06:50;;36;18:40;23;18:40;;0;0;;
4095Y;2013-05-20;14.4;14:50;5.9;05:50;10.1;27;15:40;14;15:40;3.4;0;0;3.4;0
4095Y;2013-05-21;19.6;17:10;5.3;07:30;12.5;29;17:20;12;20:20;0;0;0;0;0
4095Y;2013-05-22;22.8;16:40;9.2;05:20;16;28;19:20;12;16:30;0;0;0;0;0
4095Y;2013-05-23;23.3;18:30;7.1;08:10;15.2;31;13:10;15;19:30;0;0;0;0;0
4095Y;2013-05-24;24.1;17:20;8.2;07:20;16.2;33;16:30;17;16:40;0;0;0;0;0
4095Y;2013-05-25;25.8;17:20;7.0;07:10;16.4;37;15:50;15;18:10;0;0;0;0;0
4095Y;2013-05-26;21.5;14:00;10.9;07:00;16.2;48;15:20;26;15:30;3.6;0;0;0.8;2.8
4095Y;2013-05-27;20.9;18:10;9.4;06:00;15.1;35;16:40;19;00:50;0.2;0;0;0.2;0
4095Y;2013-05-28;18.7;16:50;7.3;07:30;13;36;14:00;17;19:10;0;0;0;0;0
4095Y;2013-05-29;18.5;19:20;6.3;07:40;12.4;42;19:50;20;15:20;0;0;0;0;0
4095Y;2013-05-30;19.1;18:20;5.6;06:20;12.4;39;01:10;18;01:10;1.2;1.2;0;0;0
4095Y;2013-05-31;19.6;17:10;8.0;07:10;13.8;40;17:40;16;13:10;0;0;0;0;0
4095Y;2013-06-01;23.2;18:40;6.8;07:10;15;33;16:00;13;15:00;0;0;0;0;0
4095Y;2013-06-02;25.9;18:40;7.6;07:20;16.7;21;19:10;9;19:30;0;0;0;0;0
4095Y;2013-06-03;27.5;17:50;10.9;07:20;19.2;31;03:30;18;03:30;0;0;0;0;0
4095Y;2013-06-04;30.0;18:20;12.6;06:30;21.3;32;03:00;20;03:10;0;0;0;0;0
4095Y;2013-06-05;29.1;17:00;14.2;07:00;21.7;37;17:30;24;18:30;5.2;0;0;0;5.2
4095Y;2013-06-06;27.3;17:10;14.1;06:50;20.7;35;16:40;18;17:20;0;0;0;0;0
4095Y;2013-06-07;20.2;16:40;12.8;06:10;16.5;31;21:20;17;21:20;0;0;0;0;0
4095Y;2013-06-08;18.0;16:30;8.9;07:30;13.4;30;17:10;14;16:40;0.4;0;0;0.4;0
4095Y;2013-06-09;20.4;19:30;8.7;05:00;14.5;32;14:00;15;14:00;0;0;0;0;0
4095Y;2013-06-10;25.6;18:20;11.5;08:00;18.6;23;14:40;9;17:00;0;0;0;0;0
4095Y;2013-06-11;29.4;18:50;11.8;07:40;20.6;39;18:00;12;17:00;0;0;0;0;0
4095Y;2013-06-12;33.1;18:50;14.5;07:10;23.8;22;14:30;9;14:30;0;0;0;0;0
4095Y;2013-06-13;35.0;18:40;17.8;06:00;26.4;35;14:30;12;18:50;0;0;0;0;0
4095Y;2013-06-14;34.5;17:30;18.8;07:30;26.6;33;17:50;16;08:50;0;0;0;0;0
4095Y;2013-06-15;35.3;18:00;16.9;06:50;26.1;31;15:40;10;17:10;0;0;0;0;0
4095Y;2013-06-16;35.4;17:00;15.6;07:00;;46;17:40;25;19:30;;0;;;
4095Y;2013-06-17;25.1;13:40;14.8;06:40;;44;13:30;28;13:30;;;;;
4095Y;2013-06-18;20.0;16:20;11.9;07:00;15.9;32;17:30;15;17:40;0.6;0;0;0.6;0
4095Y;2013-06-19;21.7;16:40;11.3;07:10;16.5;28;18:10;13;17:10;1.4;1.4;0;0;0
