Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
5060X;2013-05-07;24.0;19:10;10.9;07:20;17.4;29;04:10;14;14:50;0;0;0;0;0
5060X;2013-05-08;25.6;16:50;11.9;07:10;18.8;29;14:00;15;16:30;0;0;0;0;0
5060X;2013-05-09;26.3;16:10;11.8;06:00;19;26;19:00;14;15:40;0;0;0;0;0
5060X;2013-05-10;23.6;15:20;12.5;07:30;18.1;33;12:20;17;15:50;0;0;0;0;0
5060X;2013-05-11;24.1;16:00;8.9;06:50;16.5;28;15:20;17;15:10;0;0;0;0;0
5060X;2013-05-12;17.0;17:20;10.3;03:50;13.7;26;15:10;14;15:20;0;0;0;0;0
5060X;2013-05-13;20.1;15:10;10.0;01:10;15.1;19;16:40;13;15:30;0;0;0;0;0
5060X;2013-05-14;22.4;14:20;10.1;01:30;16.3;42;17:20;21;17:20;0;0;0;0;0
5060X;2013-05-15;18.0;15:10;7.5;23:59;12.8;38;15:00;16;17:50;0;0;0;0;0
5060X;2013-05-16;13.6;17:10;3.8;07:10;8.7;47;16:50;23;16:40;0;0;0;0;0
5060X;2013-05-17;20.3;16:40;9.6;06:50;;40;13:40;20;05:40;;;;0;0.6
5060X;2013-05-18;10.8;14:50;1.3;05:10;6.1;50;19:50;26;16:40;0.2;0.2;0;0;0
5060X;2013-05-19;22.2;13:30;8.9;03:20;;40;15:00;24;15:00;;0;0;;
5060X;2013-05-20;12.3;17:40;4.3;06:50;8.3;26;18:10;15;18:20;4.6;0;0;0;4.6
5060X;2013-05-21;10.7;19:50;4.9;06:20;7.8;31;15:00;19;16:20;4.4;2.6;1.8;0;0
5060X;2013-05-22;17.4;15:20;4.1;07:00;10.7;27;17:30;14;17:30;0;0;0;0;0
5060X;2013-05-23;21.2;16:50;7.6;07:10;14.4;40;18:20;17;16:30;0;0;0;0;0
5060X;2013-05-24;21.8;17:00;8.9;06:10;15.3;39;18:00;20;18:10;0;0;0;0;0
5060X;2013-05-25;23.3;16:50;10.5;07:00;16.9;32;18:10;18;15:20;0;0;0;0;0
5060X;2013-05-26;17.0;17:00;7.8;06:10;12.4;35;17:00;18;17:10;0;0;0;0;0
5060X;2013-05-27;18.8;15:50;7.2;06:00;13;38;17:30;17;17:50;0;0;0;0;0
5060X;2013-05-28;23.2;14:50;12.5;02:10;;46;14:10;22;08:40;;;;0;0
5060X;2013-05-29;16.5;16:30;7.8;07:10;12.2;49;17:40;26;16:10;0;0;0;0;0
5060X;2013-05-30;19.3;18:00;5.4;07:00;12.3;33;03:40;15;18:40;0.4;0.2;0.2;0;0
5060X;2013-05-31;23.8;17:00;12.1;04:50;;45;13:50;18;06:50;;;;0;0
5060X;2013-06-01;22.8;17:30;6.1;07:10;14.4;30;18:00;16;18:40;0;0;0;0;0
5060X;2013-06-02;24.0;16:00;6.4;06:10;15.2;29;13:50;16;14:10;0;0;0;0;0
5060X;2013-06-03;26.6;13:30;10.6;07:00;;36;18:10;19;15:00;;;;0;0
5060X;2013-06-04;24.5;15:50;7.3;06:10;15.9;35;15:10;18;15:10;0;0;0;0;0
5060X;2013-06-05;28.3;16:30;11.9;05:20;;21;18:50;15;18:50;;;;0;2.4
5060X;2013-06-06;22.8;15:20;8.4;06:20;15.6;36;17:00;20;17:00;0;0;0;0;0
