Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
7178I;2013-05-07;31.6;16:40;18.7;06:10;25.2;27;16:40;16;17:30;0;0;0;0;0
7178I;2013-05-08;33.2;16:50;17.1;05:40;25.2;21;17:20;13;17:20;0;0;0;0;0
7178I;2013-05-09;30.6;16:30;17.3;05:40;23.9;29;16:20;19;19:00;0;0;0;0;0
7178I;2013-05-10;28.6;13:50;18.1;23:50;23.4;32;17:50;21;14:00;0;0;0;0;0
7178I;2013-05-11;25.2;15:00;16.1;03:50;20.7;37;17:40;26;17:30;0;0;0;0;0
7178I;2013-05-12;24.2;17:00;16.1;23:59;20.2;26;17:50;15;17:30;0;0;0;0;0
7178I;2013-05-13;24.7;14:50;13.9;05:10;19.3;32;18:30;21;18:30;0;0;0;0;0
7178I;2013-05-14;24.7;15:30;14.3;06:40;19.5;31;15:00;17;15:00;0.4;0;0;0.4;0
7178I;2013-05-15;26.0;13:30;13.6;06:40;19.8;46;14:00;24;18:10;8.6;0;0;8.6;0
7178I;2013-05-16;23.2;14:10;13.1;07:10;18.2;41;19:00;25;19:00;0;0;0;0;0
7178I;2013-05-17;23.4;15:40;10.9;07:20;17.1;46;17:40;24;17:50;1;0;0;0;1
7178I;2013-05-18;21.9;14:30;10.6;06:40;16.3;41;19:00;25;19:00;0;0;0;0;0
7178I;2013-05-19;22.4;14:00;10.6;07:10;16.5;36;10:50;20;11:20;0;0;0;0;0
7178I;2013-05-20;21.7;15:20;12.9;07:30;17.3;33;15:40;19;15:40;0;0;0;0;0
7178I;2013-05-21;18.2;18:50;13.0;06:10;15.6;32;13:30;18;13:30;0;0;0;0;0
7178I;2013-05-22;27.4;15:50;10.5;06:10;18.9;42;10:40;28;11:00;0;0;0;0;0
7178I;2013-05-23;29.1;15:40;15.1;05:20;22.1;36;09:30;24;18:30;0;0;0;0;0
7178I;2013-05-24;24.3;16:20;13.2;06:40;18.7;37;15:40;23;15:10;0;0;0;0;0
7178I;2013-05-25;28.9;15:40;16.1;00:00;22.5;40;19:50;26;18:50;0;0;0;0;0
7178I;2013-05-26;23.8;15:40;15.6;23:59;19.7;35;16:30;22;16:30;0;0;0;0;0
7178I;2013-05-27;24.6;16:20;13.0;05:30;18.8;49;18:00;24;18:00;4;0;0;0.4;3.6
7178I;2013-05-28;27.2;15:40;12.8;07:00;20;44;18:20;28;18:20;0.2;0;0.2;0;0
7178I;2013-05-29;27.0;16:40;16.2;07:00;21.6;44;18:30;26;19:00;0;0;0;0;0
7178I;2013-05-30;25.9;16:50;13.8;06:10;19.8;65;05:10;36;05:20;0;0;0;0;0
7178I;2013-05-31;27.8;15:50;13.3;05:50;20.5;49;16:00;31;16:10;0;0;0;0;0
7178I;2013-06-01;27.8;17:10;14.9;07:10;21.3;40;09:00;26;09:00;0;0;0;0;0
7178I;2013-06-02;26.7;15:10;13.1;06:40;19.9;34;14:00;22;19:10;0;0;0;0;0
7178I;2013-06-03;27.5;16:40;12.9;07:00;20.2;53;14:30;21;14:00;0;0;0;0;0
7178I;2013-06-04;28.3;15:20;13.3;06:50;20.8;41;18:10;26;16:20;0;0;0;0;0
7178I;2013-06-05;29.1;16:30;15.3;05:20;22.2;31;18:50;19;19:00;0;0;0;0;0
7178I;2013-06-06;29.7;15:40;14.9;06:50;22.3;30;16:30;17;16:20;0;0;0;0;0
7178I;2013-06-07;27.7;16:10;15.7;06:30;21.7;37;14:00;20;14:00;0;0;0;0;0
7178I;2013-06-08;27.4;15:00;15.3;06:10;21.3;30;07:00;19;07:00;0;0;0;0;0
7178I;2013-06-09;28.4;18:00;16.3;06:20;22.3;36;16:30;22;19:10;0;0;0;0;0
7178I;2013-06-10;30.8;16:20;16.6;07:10;23.7;37;18:10;21;17:40;0;0;0;0;0
