Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9141V;2013-05-07;22.8;16:40;12.5;06:30;17.6;25;13:20;13;13:30;0.2;0;0;0;0.2
9141V;2013-05-08;20.0;16:20;13.4;23:50;16.7;24;17:50;12;17:40;0.2;0.2;0;0;0
9141V;2013-05-09;15.6;14:00;10.4;23:50;13;29;18:20;15;18:00;4.8;0;0.6;4.2;0
9141V;2013-05-10;16.1;19:20;8.5;23:59;12.3;19;01:30;11;19:30;0;0;0;0;0
9141V;2013-05-11;17.5;18:20;7.7;01:00;12.6;24;17:00;12;18:00;0;0;0;0;0
9141V;2013-05-12;17.4;17:00;5.7;03:40;11.5;28;18:20;13;18:30;;;0;0;0
9141V;2013-05-13;23.2;17:40;4.3;07:10;13.8;23;18:20;12;17:50;0;0;0;0;0
9141V;2013-05-14;22.3;17:00;6.1;06:40;14.2;45;20:30;22;20:40;5.2;0;0;0;5.2
9141V;2013-05-15;13.2;18:10;7.0;08:10;10.1;33;18:20;15;18:30;4;0.2;2.6;1.2;0
9141V;2013-05-16;12.8;17:20;4.2;06:20;8.5;39;19:40;16;11:30;2.8;0;0;1.2;1.6
9141V;2013-05-17;14.7;17:00;5.5;23:59;10.1;24;19:10;12;19:10;11.6;0;0.6;0.2;10.8
9141V;2013-05-18;15.1;15:20;4.6;01:20;9.9;44;16:10;20;13:40;5.8;2.6;0.6;2.2;0.4
9141V;2013-05-19;18.7;17:30;8.1;07:20;;42;23:00;26;22:40;;1.8;0.4;;
9141V;2013-05-20;15.7;17:40;4.5;05:40;10.1;22;18:30;12;18:30;0;0;0;0;0
9141V;2013-05-21;11.2;17:20;3.6;06:50;7.4;17;17:40;9;17:50;1.6;0;0.4;1;0.2
9141V;2013-05-22;16.7;15:30;9.6;06:00;13.2;36;17:00;19;17:20;0;0;0;0;0
9141V;2013-05-23;13.1;13:20;9.8;04:10;11.5;27;03:40;12;03:40;0;0;0;0;0
9141V;2013-05-24;16.4;19:00;7.0;06:40;11.7;27;17:50;12;09:40;0;0;0;0;0
9141V;2013-05-25;16.2;17:00;6.7;23:59;11.5;27;08:00;13;04:30;0;0;0;0;0
