Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9211F;2013-05-07;20.9;18:00;11.8;07:20;16.3;36;14:30;27;14:30;0;0;0;0;0
9211F;2013-05-08;19.7;17:30;12.8;06:00;16.3;31;12:50;23;12:50;0.2;0;0;0.2;0
9211F;2013-05-09;17.8;13:20;9.3;23:59;13.5;32;19:40;22;12:30;7.2;0;0;1;6.2
9211F;2013-05-10;17.2;18:00;7.1;06:30;12.2;32;16:40;21;11:30;0;0;0;0;0
9211F;2013-05-11;16.6;16:20;3.4;06:50;10;36;16:40;23;11:50;0;0;0;0;0
9211F;2013-05-12;17.7;17:10;5.8;02:50;11.8;40;08:40;24;17:20;0;0;0;0;0
9211F;2013-05-13;22.2;17:50;3.4;06:50;12.8;27;17:40;15;16:30;0;0;0;0;0
9211F;2013-05-14;20.4;12:00;6.5;04:40;13.4;57;13:20;41;13:20;0;0;0;0;0
9211F;2013-05-15;12.6;00:00;4.6;16:20;8.6;39;14:10;28;14:50;20.4;16.6;0.6;3.2;0
9211F;2013-05-16;12.7;17:30;2.6;06:20;7.6;43;14:20;27;11:20;0.2;0;0.2;0;0
9211F;2013-05-17;12.8;13:30;3.8;01:20;8.3;62;15:00;45;15:00;14;0;2.2;5.4;6.4
9211F;2013-05-18;7.8;16:30;2.8;11:10;5.3;26;16:40;15;09:30;19.2;9.2;4.4;3.4;2.2
9211F;2013-05-19;11.8;17:30;1.7;00:10;;46;14:50;21;14:00;;0.8;0.2;;
9211F;2013-05-20;15.9;17:00;2.4;06:30;9.1;33;16:40;24;16:20;0;0;0;0;0
9211F;2013-05-21;12.4;15:50;1.6;06:50;7;53;19:50;38;20:00;0;0;0;0;0
9211F;2013-05-22;14.2;13:50;8.2;02:50;11.2;58;18:00;39;18:00;0;0;0;0;0
9211F;2013-05-23;12.4;11:10;7.4;23:59;9.9;64;14:50;46;15:00;0;0;0;0;0
9211F;2013-05-24;11.7;16:20;4.7;06:10;8.2;54;13:00;37;12:00;0;0;0;0;0
9211F;2013-05-25;12.2;15:40;4.6;02:20;8.4;59;18:30;40;15:30;0;0;0;0;0
9211F;2013-05-26;20.6;17:50;0.1;06:50;10.4;38;19:50;26;19:50;0;0;0;0;0
9211F;2013-05-27;18.3;15:40;9.1;23:40;13.7;37;14:30;27;18:30;8.4;0;0;0;8.4
9211F;2013-05-28;12.1;16:40;6.1;23:00;9.1;49;14:40;33;14:40;5.8;0;5.4;0.4;0
9211F;2013-05-29;11.3;17:40;4.2;03:30;7.8;55;13:00;40;15:10;0.2;0;0;0.2;0
9211F;2013-05-30;9.5;18:10;5.2;01:40;7.3;52;22:30;34;21:10;2.6;0;0.2;0.6;1.8
9211F;2013-05-31;13.6;14:30;7.8;02:10;10.7;65;14:40;46;14:40;2;0.2;1.8;0;0
9211F;2013-06-01;16.3;15:10;8.5;03:00;12.4;61;10:40;41;10:30;0;0;0;0;0
9211F;2013-06-02;19.6;16:40;7.4;06:30;13.5;51;15:00;37;15:00;0;0;0;0;0
9211F;2013-06-03;21.7;16:30;6.5;06:30;14.1;35;17:50;26;17:50;0;0;0;0;0
9211F;2013-06-04;23.5;18:00;6.4;06:00;15;25;17:20;15;17:50;0;0;0;0;0
9211F;2013-06-05;24.2;16:40;9.4;06:10;16.8;33;16:00;22;15:10;0;0;0;0;0
