Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9228T;2013-08-12;26.7;12:10;12.1;04:00;19.4;37;15:20;19;15:00;4;0;0.4;0.2;3.4
9228T;2013-08-13;17.4;13:20;10.6;23:40;14;31;00:30;14;01:20;1.2;0.6;0.2;0.2;0.2
9228T;2013-08-14;18.2;17:50;9.5;05:30;13.9;40;13:50;20;11:20;1;0;0.4;0.2;0.4
9228T;2013-08-15;24.6;16:00;7.9;07:00;16.3;35;19:50;17;18:40;0.6;0;0.2;0.2;0.2
9228T;2013-08-16;22.5;11:00;10.3;07:10;16.4;40;15:50;20;15:40;1.8;0;0.6;0;1.2
9228T;2013-08-17;20.2;14:00;10.6;07:10;15.4;35;16:20;18;16:10;1;0.2;0.4;0;0.4
9228T;2013-08-18;25.5;14:40;8.7;04:10;17.1;28;19:00;23;19:20;;0;0.2;;0.2
9228T;2013-08-19;15.7;13:30;9.9;23:30;12.8;40;21:30;15;16:10;2.2;0.2;0.4;1.4;0.2
9228T;2013-08-20;18.7;17:20;9.3;03:30;14;40;14:30;18;15:20;0.8;0.2;0.4;0;0.2
9228T;2013-08-21;27.8;15:10;8.8;06:00;18.3;30;01:10;15;16:50;0.2;0;0;0;0.2
9228T;2013-08-22;27.0;14:40;13.1;00:20;20.1;40;17:50;19;16:40;0.4;0.2;0.2;0;0
9228T;2013-08-23;22.1;13:50;12.2;07:40;17.2;32;17:30;15;17:30;1;0;0.6;0.2;0.2
9228T;2013-08-24;17.1;14:30;9.3;23:50;13.2;39;11:30;14;11:30;4;0.2;3.2;0;0.6
9228T;2013-08-25;17.0;16:20;7.9;07:10;12.5;36;17:50;10;17:20;5.8;0.4;0.2;0.2;5
9228T;2013-08-26;14.7;16:40;6.4;07:10;10.5;26;22:40;12;20:40;5.4;0.4;3.4;1.4;0.2
9228T;2013-08-27;17.1;15:20;7.0;07:30;12.1;31;16:20;13;17:50;0.4;0;0.2;0.2;0
9228T;2013-08-28;16.3;16:40;8.7;07:40;12.5;31;13:20;15;13:20;0;0;0;0;0
9228T;2013-08-29;17.1;15:40;8.1;03:40;12.6;39;16:10;18;09:20;1;0;0.6;0;0.4
9228T;2013-08-30;17.7;14:10;9.6;07:20;13.7;36;16:30;17;04:10;0;0;0;0;0
9228T;2013-08-31;17.7;15:40;9.1;07:30;13.4;38;04:10;14;04:00;0;0;0;0;0
9228T;2013-09-01;18.2;17:40;9.5;04:30;13.9;33;17:50;15;05:40;0;0;0;0;0
9228T;2013-09-02;16.8;18:20;10.3;23:59;13.5;42;16:30;19;13:30;0;0;0;0;0
9228T;2013-09-03;26.5;16:00;8.2;03:40;17.3;26;18:00;13;17:50;0;0;0;0;0
9228T;2013-09-04;26.2;16:00;11.3;00:40;18.8;32;12:20;18;13:00;0;0;0;0;0
9228T;2013-09-05;25.6;16:10;10.7;05:10;18.2;36;13:30;17;15:20;0.2;0;0;0;0.2
9228T;2013-09-06;19.5;13:30;9.4;07:20;14.4;30;17:40;15;16:50;6.8;1.2;0.4;0;5.2
9228T;2013-09-07;20.5;15:40;12.6;23:59;;39;17:00;22;17:10;;0.4;0.4;;
9228T;2013-09-08;19.3;15:50;10.7;23:59;;32;17:20;23;17:20;;;;;
9228T;2013-09-09;22.9;14:40;6.7;04:20;;31;15:50;21;15:50;;;0;0;0
9228T;2013-09-10;13.3;11:50;6.7;23:59;10;26;13:20;10;13:20;22.4;0;9.2;12.2;1
9228T;2013-09-11;13.1;15:00;5.5;09:00;9.3;33;16:20;9;02:10;0.4;0;0.4;0;0
9228T;2013-09-12;14.0;14:50;5.6;04:10;9.8;35;05:20;16;05:20;0.4;0;0;0;0.4
9228T;2013-09-13;15.8;13:10;8.9;00:00;12.3;30;17:10;15;17:20;1;1;0;0;0
9228T;2013-09-14;21.0;14:50;6.1;06:00;13.5;33;23:20;9;12:20;7.4;0;0;0;7.4
9228T;2013-09-15;11.8;00:00;4.6;23:10;8.2;29;01:00;10;00:30;6.4;6.2;0;0;0.2
9228T;2013-09-16;17.4;13:10;1.4;06:00;9.4;29;23:50;10;14:40;;0.2;;;
9228T;2013-09-17;9.7;14:10;7.0;07:40;8.3;27;03:50;8;05:00;;;;;
9228T;2013-09-18;12.0;16:00;8.0;02:10;10;27;19:00;7;02:30;;;;;
9228T;2013-09-19;11.4;00:40;7.6;06:40;9.5;33;05:10;12;10:20;;;;;
