Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
9784P;2013-05-07;21.2;13:50;7.8;07:10;14.5;34;16:00;13;16:00;0;0;0;0;0
9784P;2013-05-08;19.6;13:00;10.4;05:40;15;28;16:00;10;13:00;1.2;0;0;1.2;0
9784P;2013-05-09;15.2;14:20;10.2;03:00;12.7;24;20:30;11;20:40;20.4;0;7.6;6.8;6
9784P;2013-05-10;19.6;15:10;6.5;06:40;13.1;33;15:40;16;10:30;0;0;0;0;0
9784P;2013-05-11;20.3;17:20;2.1;07:30;11.2;40;15:30;16;18:20;0;0;0;0;0
9784P;2013-05-12;20.3;17:40;1.7;07:20;11;36;12:40;15;14:50;0;0;0;0;0
9784P;2013-05-13;22.0;17:30;4.1;07:10;13;35;15:10;14;14:00;0;0;0;0;0
9784P;2013-05-14;18.2;12:50;5.3;05:20;11.8;34;14:30;10;14:30;2.8;0;0;1.2;1.6
9784P;2013-05-15;12.5;12:20;3.4;19:20;8;35;14:10;15;19:50;36;7.4;12.6;11.6;4.4
9784P;2013-05-16;12.0;12:30;2.5;23:59;7.3;39;16:50;18;16:50;0.4;0;0;0.4;0
9784P;2013-05-17;10.0;13:50;0.3;03:50;5.2;36;14:00;14;17:10;10;0;0;4;6
9784P;2013-05-18;7.0;16:50;2.9;00:20;5;43;11:10;21;10:40;18.6;3;3.6;10.2;1.8
9784P;2013-05-19;15.1;13:40;1.5;06:30;8.3;30;19:40;14;11:30;3;0;0;0;3
9784P;2013-05-20;15.2;14:10;2.5;07:30;8.8;39;15:20;14;15:30;3.8;0;0;3.4;0.4
9784P;2013-05-21;13.5;16:10;2.2;07:10;7.9;46;22:30;21;22:30;0;0;0;0;0
9784P;2013-05-22;16.5;12:50;9.0;06:20;12.8;47;22:50;18;12:10;0.6;0.4;0.2;0;0
9784P;2013-05-23;16.6;14:30;7.9;05:20;12.3;58;19:10;27;19:00;0;0;0;0;0
9784P;2013-05-24;12.1;17:10;3.2;06:20;7.7;50;11:20;23;19:20;0;0;0;0;0
9784P;2013-05-25;13.6;14:30;1.4;01:40;7.5;60;16:20;26;18:00;0;0;0;0;0
9784P;2013-05-26;19.4;17:00;-1.5;06:00;8.9;33;20:40;13;00:10;0;0;0;0;0
9784P;2013-05-27;14.4;17:50;7.6;06:00;11;27;18:00;11;17:30;5;0;0;0.4;4.6
9784P;2013-05-28;13.6;16:10;2.6;23:59;8.1;49;17:20;21;17:50;12.2;1.4;7.4;3.4;0
9784P;2013-05-29;12.9;18:00;-0.6;06:10;6.1;44;14:50;19;17:00;0;0;0;0;0
9784P;2013-05-30;13.8;13:50;1.1;05:00;7.5;41;13:40;19;13:30;0.8;0;0;0;0.8
9784P;2013-05-31;13.8;11:50;6.1;07:30;10;62;10:50;26;11:00;2.6;0.8;1.8;0;0
9784P;2013-06-01;16.5;12:30;9.0;06:50;12.8;52;13:30;21;08:00;0;0;0;0;0
9784P;2013-06-02;17.2;18:00;10.4;07:10;13.8;48;05:20;21;00:50;0;0;0;0;0
9784P;2013-06-03;21.2;18:10;7.4;05:10;14.3;51;13:20;27;12:50;0;0;0;0;0
9784P;2013-06-04;23.3;18:30;6.5;07:00;14.9;39;16:40;13;17:00;0;0;0;0;0
9784P;2013-06-05;23.0;14:30;7.3;07:20;15.2;36;20:40;17;16:10;3.6;0;0;0.8;2.8
9784P;2013-06-06;24.2;15:10;6.1;06:40;15.2;49;19:40;18;16:20;10.6;0.2;0;0;10.4
9784P;2013-06-07;21.7;14:00;8.0;06:40;14.9;28;20:40;11;18:10;0.2;0.2;0;0;0
9784P;2013-06-08;12.1;00:00;5.5;10:50;8.8;33;06:00;14;11:10;23.6;0;14.4;2.4;6.8
9784P;2013-06-09;15.1;16:00;5.1;06:00;10.1;26;16:10;10;16:20;8.8;5.4;3.2;0.2;0
9784P;2013-06-10;23.1;16:20;6.4;01:20;14.8;40;09:40;19;12:40;0;0;0;0;0
9784P;2013-06-11;25.2;19:00;7.4;02:50;16.3;27;13:20;10;12:50;0;0;0;0;0
