Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B275C;2015-05-05;29.5;16:20;14.2;04:30;;69;09:40;41;08:10;;;;;
B275C;2015-05-06;26.3;13:00;14.1;23:59;;37;06:00;31;06:00;;;;;
B275C;2015-05-07;26.5;13:50;10.6;06:40;;33;21:10;29;21:10;;;;;
B275C;2015-05-08;28.6;16:50;9.1;06:50;;41;15:40;33;03:10;;;;;
B275C;2015-05-09;27.5;12:40;11.1;06:20;;43;04:40;35;05:20;;;;;
B275C;2015-05-10;27.9;16:50;9.3;06:20;;27;19:10;19;19:10;;;;;
B275C;2015-05-11;30.9;15:20;9.3;05:30;;30;16:10;21;06:10;;;;;
B275C;2015-05-12;30.3;13:40;9.1;07:00;;37;17:10;26;17:20;;;;;
B275C;2015-05-13;29.4;12:50;8.5;06:00;;41;23:59;30;23:59;;;;;
B275C;2015-05-14;32.1;17:30;12.8;07:10;;69;20:40;41;05:40;;;;;
B275C;2015-05-15;23.3;16:40;15.0;23:50;;80;18:30;53;17:50;;;;;
B275C;2015-05-16;25.0;17:00;10.3;04:30;;65;13:20;39;13:20;;;;;
B275C;2015-05-17;28.0;16:00;10.3;03:10;;62;05:40;49;05:40;;;;;
B275C;2015-05-18;27.2;13:30;9.1;06:50;;33;16:40;22;22:40;;;;;
B275C;2015-05-19;25.3;14:10;8.8;06:40;;42;15:40;32;16:00;;;;;
B275C;2015-05-20;18.9;14:40;12.8;23:59;;48;08:30;32;08:30;;;;;
B275C;2015-05-21;20.9;17:50;9.7;23:59;;41;10:10;29;10:30;;;;;
B275C;2015-05-22;22.7;16:30;8.1;04:40;;36;17:40;24;18:00;;;;;
B275C;2015-05-23;23.9;14:00;6.7;06:30;;42;16:10;33;17:20;;;;;
B275C;2015-05-24;24.9;16:30;8.0;06:10;;39;23:40;30;23:40;;;;;
B275C;2015-05-25;27.0;15:30;10.4;02:40;;50;08:10;34;07:50;;;;;
B275C;2015-05-26;27.2;14:00;13.4;23:59;;42;13:20;26;22:20;;;;;
B275C;2015-05-27;25.0;15:30;9.4;06:30;;31;10:40;18;05:30;;;;;
B275C;2015-05-28;26.2;13:40;9.7;06:30;;31;19:10;24;23:59;;;;;
B275C;2015-05-29;27.6;14:10;8.6;06:50;;37;14:40;24;18:10;;;;;
B275C;2015-05-30;28.8;14:20;11.3;06:40;;35;12:50;23;23:59;;;;;
B275C;2015-05-31;28.0;16:00;11.1;04:20;;30;00:10;22;00:10;;;;;
B275C;2015-06-01;28.8;12:20;10.6;06:40;;30;19:00;21;19:10;;;;;
B275C;2015-06-02;26.6;11:30;15.1;07:10;20.9;29;14:30;14;13:10;0;0;0;0;0
B275C;2015-06-03;29.6;12:20;15.5;06:20;22.6;33;15:50;15;16:10;0;0;0;0;0
B275C;2015-06-04;31.7;13:10;16.0;05:30;23.9;31;15:10;14;14:40;0;0;0;0;0
B275C;2015-06-05;31.5;13:00;16.7;05:00;24.1;35;15:00;17;15:00;0;0;0;0;0
B275C;2015-06-06;29.9;11:20;16.9;06:00;23.4;31;16:20;15;14:30;0;0;0;0;0
B275C;2015-06-07;32.1;13:50;17.7;04:40;24.9;31;15:50;14;13:00;0;0;0;0;0
B275C;2015-06-08;29.6;10:50;18.2;06:00;23.9;31;14:20;14;15:00;0;0;0;0;0
B275C;2015-06-09;29.9;11:20;18.6;06:00;24.3;28;12:20;14;12:30;0;0;0;0;0
B275C;2015-06-10;32.2;14:10;18.9;06:30;25.6;34;17:30;17;20:30;0;0;0;0;0
