Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B410B;2015-06-02;26.0;15:30;14.8;07:00;20.4;31;13:10;18;16:20;0;0;0;0;0
B410B;2015-06-03;27.1;13:20;16.4;06:00;21.8;32;17:10;23;15:50;0;0;0;0;0
B410B;2015-06-04;28.1;12:10;16.8;06:20;22.4;44;13:50;27;14:10;0;0;0;0;0
B410B;2015-06-05;27.7;11:50;17.5;06:30;22.6;36;14:00;25;15:40;0;0;0;0;0
B410B;2015-06-06;27.9;11:40;16.0;03:00;21.9;40;14:30;28;14:10;0;0;0;0;0
B410B;2015-06-07;30.2;14:50;16.2;04:00;23.2;38;16:20;27;17:50;0;0;0;0;0
B410B;2015-06-08;27.6;13:50;16.7;06:30;22.2;35;14:40;22;14:10;0;0;0;0;0
B410B;2015-06-09;28.1;14:50;17.0;05:40;22.6;33;13:10;23;12:00;0;0;0;0;0
B410B;2015-06-10;28.2;14:00;19.9;04:40;24.1;37;15:40;25;15:10;0;0;0;0;0
B410B;2015-06-11;26.3;14:30;22.1;04:40;24.2;39;12:20;26;11:50;0;0;0;0;0
B410B;2015-06-12;27.8;14:40;20.3;23:50;24;45;03:20;31;03:20;0.2;0;0;0.2;0
B410B;2015-06-13;27.6;14:40;18.1;07:10;22.9;35;23:20;23;16:20;0;0;0;0;0
B410B;2015-06-14;27.8;12:40;18.9;06:20;23.3;35;12:10;25;10:40;0;0;0;0;0
B410B;2015-06-15;25.9;12:30;17.9;05:20;21.9;32;14:30;19;13:50;0;0;0;0;0
B410B;2015-06-16;26.1;13:40;16.6;23:10;21.4;44;14:10;33;12:30;7.2;3.4;0.4;1.4;2
B410B;2015-06-17;25.6;13:00;14.9;04:00;20.3;24;12:40;17;12:30;0;0;0;0;0
B410B;2015-06-18;27.9;14:50;15.8;04:20;21.8;37;14:50;28;15:10;0;0;0;0;0
B410B;2015-06-19;28.6;15:30;18.0;02:10;23.3;35;15:40;22;14:00;0;0;0;0;0
B410B;2015-06-20;28.2;16:10;17.3;06:50;22.8;32;17:20;23;17:00;0;0;0;0;0
B410B;2015-06-21;27.2;14:40;17.9;04:10;22.6;30;14:50;21;14:50;0;0;0;0;0
B410B;2015-06-22;27.6;14:00;18.5;05:20;23.1;28;18:00;20;19:40;0;0;0;0;0
B410B;2015-06-23;30.7;16:30;20.0;05:30;25.4;31;16:00;19;11:40;0;0;0;0;0
B410B;2015-06-24;27.5;17:10;19.6;04:00;23.6;43;11:00;28;11:00;0;0;0;0;0
B410B;2015-06-25;30.4;13:50;17.0;06:00;23.7;34;11:50;19;15:30;0;0;0;0;0
B410B;2015-06-26;29.3;12:50;18.0;04:00;23.6;32;14:50;22;15:00;0;0;0;0;0
B410B;2015-06-27;32.5;16:20;18.0;05:00;25.3;27;17:20;18;16:20;0;0;0;0;0
B410B;2015-06-28;31.4;12:40;18.7;05:30;25.1;24;15:10;15;13:40;0;0;0;0;0
B410B;2015-06-29;31.9;11:40;18.6;06:30;25.3;40;15:40;27;14:30;0;0;0;0;0
B410B;2015-06-30;30.1;15:40;19.6;05:30;24.9;34;16:10;26;16:20;0;0;0;0;0
B410B;2015-07-01;29.8;12:20;23.0;05:30;26.4;40;13:40;26;15:40;0;0;0;0;0
B410B;2015-07-02;29.6;14:20;23.0;06:30;26.3;44;12:20;24;13:40;0;0;0;0;0
B410B;2015-07-03;30.9;15:00;23.1;06:10;27;49;15:10;32;17:10;0;0;0;0;0
B410B;2015-07-04;31.8;13:40;23.3;05:10;27.5;40;15:50;29;18:00;0;0;0;0;0
B410B;2015-07-05;31.8;13:10;23.2;06:00;27.5;27;16:10;15;14:30;0;0;0;0;0
B410B;2015-07-06;33.5;14:10;22.6;05:40;28.1;32;13:30;20;15:30;0;0;0;0;0
B410B;2015-07-07;32.4;17:00;22.1;04:10;27.3;29;14:30;19;15:50;0;0;0;0;0
B410B;2015-07-08;31.4;11:50;22.1;04:00;26.8;36;15:20;23;15:30;0;0;0;0;0
B410B;2015-07-09;28.4;16:00;22.8;23:50;25.6;32;13:20;20;14:20;0;0;0;0;0
B410B;2015-07-10;30.9;17:10;20.2;06:40;25.6;30;16:10;20;15:20;0;0;0;0;0
B410B;2015-07-11;30.7;13:50;21.4;06:40;26.1;24;16:00;18;13:50;0;0;0;0;0
B410B;2015-07-12;29.7;16:00;21.7;06:00;25.7;27;15:20;15;18:20;0;0;0;0;0
B410B;2015-07-13;30.4;15:40;21.4;06:20;25.9;33;13:10;17;16:20;0;0;0;0;0
B410B;2015-07-14;30.8;16:40;21.5;03:40;26.1;34;14:10;18;13:50;0;0;0;0;0
B410B;2015-07-15;31.7;14:00;21.2;06:30;26.5;28;14:20;21;14:30;0;0;0;0;0
B410B;2015-07-16;29.6;12:40;22.3;07:00;25.9;37;14:50;26;15:00;0;0;0;0;0
B410B;2015-07-17;30.1;15:20;22.7;07:00;26.4;32;17:20;17;17:30;0;0;0;0;0
B410B;2015-07-18;30.3;14:50;22.0;07:20;26.1;27;15:30;12;16:30;0;0;0;0;0
B410B;2015-07-19;32.4;14:00;22.0;06:40;27.2;30;16:00;22;16:00;0;0;0;0;0
B410B;2015-07-20;32.6;14:20;22.5;06:30;27.5;27;17:20;18;16:20;0;0;0;0;0
B410B;2015-07-21;32.9;12:50;23.1;06:30;28;28;15:10;20;15:30;0;0;0;0;0
B410B;2015-07-22;31.9;13:00;23.8;08:00;27.8;28;12:10;17;12:00;0.5;0.5;0;0;0
B410B;2015-07-23;31.9;13:30;24.7;06:40;28.3;39;12:20;26;12:20;0;0;0;0;0
B410B;2015-07-24;31.4;13:10;22.5;06:40;26.9;32;16:10;20;16:20;0;0;0;0;0
B410B;2015-07-25;30.0;13:30;24.6;07:00;27.3;44;17:40;28;14:30;0;0;0;0;0
B410B;2015-07-26;30.5;15:30;22.1;07:00;26.3;33;14:30;20;12:30;0;0;0;0;0
B410B;2015-07-27;31.2;16:40;23.6;06:20;27.4;28;15:50;17;16:10;0;0;0;0;0
B410B;2015-07-28;30.1;16:20;25.9;01:20;28;40;13:30;24;14:00;0;0;0;0;0
B410B;2015-07-29;30.7;15:50;24.8;04:50;27.8;30;12:00;18;14:40;0;0;0;0;0
B410B;2015-07-30;30.0;14:10;24.4;23:59;27.2;50;16:40;33;17:10;0;0;0;0;0
B410B;2015-07-31;29.4;16:20;21.9;04:10;25.6;42;18:10;28;18:10;0;0;0;0;0
B410B;2015-08-01;29.1;16:40;20.8;08:30;24.9;48;08:10;26;01:00;9.6;0;9.6;0;0
B410B;2015-08-02;26.2;18:00;14.4;07:50;;39;08:30;27;08:30;;;;;
B410B;2015-08-03;29.9;14:30;20.9;05:30;25.4;31;15:30;20;15:40;0;0;0;0;0
B410B;2015-08-04;30.0;17:00;22.9;05:30;26.4;33;11:20;23;11:20;0;0;0;0;0
B410B;2015-08-05;30.5;17:20;21.9;05:50;26.2;31;13:50;20;13:30;0;0;0;0;0
B410B;2015-08-06;31.6;16:10;23.0;05:50;27.3;31;13:30;21;11:40;0;0;0;0;0
B410B;2015-08-07;33.9;14:10;23.3;04:30;28.6;28;17:10;22;17:20;0;0;0;0;0
B410B;2015-08-08;31.9;17:00;23.8;04:00;27.8;42;22:20;24;22:00;0;0;0;0;0
B410B;2015-08-09;29.7;14:10;23.7;23:40;26.7;33;00:20;20;13:00;4.7;0;0;0;4.7
B410B;2015-08-10;30.3;15:10;21.2;07:20;25.8;45;16:10;33;16:10;2.7;2.6;0.1;0;0
B410B;2015-08-11;30.4;16:10;20.7;04:40;25.6;28;15:30;18;15:30;0;0;0;0;0
B410B;2015-08-12;30.9;16:10;22.9;05:30;26.9;29;15:00;19;18:30;0;0;0;0;0
B410B;2015-08-13;31.9;16:40;24.1;05:10;28;31;14:00;19;16:50;0;0;0;0;0
B410B;2015-08-14;29.7;12:10;20.3;19:00;25;43;14:50;27;14:50;24.5;0;0;2.2;22.3
B410B;2015-08-15;25.2;11:20;19.4;13:50;22.3;35;05:10;24;05:30;12.4;0.2;0.3;11.9;0
B410B;2015-08-16;28.4;17:10;17.8;07:20;23.1;31;14:20;18;15:50;0;0;0;0;0
B410B;2015-08-17;28.1;11:00;19.7;13:20;23.9;44;12:30;29;12:30;1.2;0;0;1.2;0
B410B;2015-08-18;28.4;12:00;21.8;03:50;25.1;37;13:10;23;12:20;0;0;0;0;0
B410B;2015-08-19;28.0;17:10;22.5;06:30;25.3;34;13:50;20;13:40;0;0;0;0;0
B410B;2015-08-20;29.0;14:10;20.4;06:30;24.7;27;15:00;18;15:00;0;0;0;0;0
B410B;2015-08-21;29.2;15:20;19.6;05:40;24.4;28;15:50;18;16:00;0;0;0;0;0
B410B;2015-08-22;29.4;15:20;21.5;07:20;25.4;40;14:40;27;14:20;0;0;0;0;0
B410B;2015-08-23;30.4;17:20;24.2;04:10;27.3;55;02:50;27;15:40;0;0;0;0;0
B410B;2015-08-24;30.1;15:10;23.6;23:20;26.9;53;12:10;37;12:10;0;0;0;0;0
B410B;2015-08-25;28.7;15:00;22.1;01:30;25.4;38;14:40;26;15:00;0;0;0;0;0
B410B;2015-08-26;29.1;14:30;21.2;07:00;25.2;34;17:00;23;16:00;0;0;0;0;0
B410B;2015-08-27;29.1;15:40;20.8;07:20;24.9;30;12:40;22;16:00;0;0;0;0;0
B410B;2015-08-28;29.2;15:00;21.6;02:40;25.4;30;14:30;15;16:50;0;0;0;0;0
B410B;2015-08-29;29.9;13:30;22.1;07:20;26;37;14:50;24;15:00;0;0;0;0;0
B410B;2015-08-30;30.2;15:50;24.6;23:59;27.4;35;15:30;23;15:30;0;0;0;0;0
B410B;2015-08-31;33.2;15:30;22.9;07:00;28.1;35;23:50;25;14:10;0;0;0;0;0
B410B;2015-09-01;30.7;12:40;22.7;23:59;26.7;84;17:50;35;02:30;7.5;1;0.1;1.6;4.8
B410B;2015-09-02;28.4;17:20;20.9;06:50;24.6;32;15:40;23;15:40;0.1;0;0.1;0;0
B410B;2015-09-03;30.0;13:20;23.0;23:50;26.5;29;15:30;18;16:00;0;0;0;0;0
B410B;2015-09-04;26.4;16:30;20.0;22:00;23.2;46;20:50;31;18:00;3.3;0;2.1;0.1;1.1
B410B;2015-09-05;26.1;13:00;20.8;05:20;23.4;43;14:40;22;00:10;0;0;0;0;0
B410B;2015-09-06;25.0;17:00;19.4;23:20;22.2;31;11:40;18;13:10;0;0;0;0;0
B410B;2015-09-07;26.0;13:00;18.0;06:20;22;31;15:00;17;15:10;0;0;0;0;0
B410B;2015-09-08;26.1;18:00;17.8;06:40;21.9;36;13:20;20;18:20;0;0;0;0;0
B410B;2015-09-09;27.6;14:40;16.4;04:20;;32;12:10;21;11:00;;0;;0;0
B410B;2015-09-10;26.0;10:50;17.9;07:30;21.9;22;12:20;14;12:50;0.8;0;0;0.7;0.1
B410B;2015-09-11;28.3;13:30;20.5;00:20;24.4;33;15:40;21;15:40;0.2;0.1;0;0.1;0
B410B;2015-09-12;28.9;14:30;21.3;06:30;25.1;34;23:59;24;12:50;0;0;0;0;0
B410B;2015-09-13;30.5;14:00;21.4;05:20;25.9;36;14:40;25;14:40;0;0;0;0;0
B410B;2015-09-14;31.1;15:00;21.8;23:59;26.4;36;13:10;28;13:00;0;0;0;0;0
B410B;2015-09-15;27.2;16:20;19.1;05:50;23.2;35;16:40;20;13:30;0;0;0;0;0
B410B;2015-09-16;28.1;16:10;22.2;07:10;25.2;44;13:40;28;12:30;0;0;0;0;0
B410B;2015-09-17;29.0;14:20;20.3;23:59;24.6;44;13:10;34;14:20;0;0;0;0;0
B410B;2015-09-18;26.4;14:00;18.6;03:50;22.5;40;16:00;25;14:10;0;0;0;0;0
B410B;2015-09-19;25.8;14:00;19.4;23:30;22.6;42;13:30;24;15:10;0;0;0;0;0
B410B;2015-09-20;25.4;14:30;13.4;07:50;;40;16:20;31;17:20;;0;0;0;
B410B;2015-09-21;27.1;14:10;16.8;08:00;21.9;37;15:50;24;15:20;0;0;0;0;0
B410B;2015-09-22;28.1;16:10;18.6;03:10;23.4;26;13:20;18;14:20;0;0;0;0;0
B410B;2015-09-23;23.8;10:40;16.4;21:30;20.1;33;10:50;25;10:50;0.1;0;0;0;0.1
B410B;2015-09-24;24.8;13:50;14.9;07:20;19.8;27;15:10;17;15:20;0.1;0;0;0.1;0
B410B;2015-09-25;27.3;14:10;14.0;07:10;20.6;31;16:40;18;17:30;0;0;0;0;0
B410B;2015-09-26;25.7;14:40;14.8;05:30;20.3;29;15:00;15;15:30;0;0;0;0;0
B410B;2015-09-27;26.3;13:10;17.1;02:10;21.7;30;16:20;20;17:20;0;0;0;0;0
B410B;2015-09-28;25.6;16:00;16.9;07:30;21.3;44;14:40;21;13:50;0;0;0;0;0
B410B;2015-09-29;23.6;12:40;15.9;05:30;19.8;30;12:30;20;14:30;0.1;0;0.1;0;0
B410B;2015-09-30;23.2;17:30;16.7;07:40;20;35;11:40;23;20:10;;;;;0
B410B;2015-10-01;23.8;15:40;16.4;23:30;20.1;41;02:40;28;03:50;0.3;0.3;0;0;0
B410B;2015-10-02;24.9;14:50;16.2;02:20;20.6;36;14:40;22;14:40;1.7;0;1.7;0;0
B410B;2015-10-03;26.3;13:40;20.6;23:50;23.4;29;11:00;21;12:00;0;0;0;0;0
B410B;2015-10-04;27.1;13:00;17.4;07:40;22.3;28;14:20;19;15:00;0;0;0;0;0
B410B;2015-10-05;31.3;14:50;21.1;08:00;26.2;33;12:40;20;12:30;0;0;0;0;0
B410B;2015-10-06;27.7;14:00;20.4;23:00;24.1;54;12:20;28;13:50;0;0;0;0;0
B410B;2015-10-07;24.2;13:30;19.0;08:10;21.6;34;16:30;24;15:50;0;0;0;0;0
B410B;2015-10-08;23.0;14:30;17.7;08:10;20.4;31;15:00;19;13:50;0;0;0;0;0
B410B;2015-10-09;22.8;15:20;15.7;23:30;19.2;39;16:10;26;15:50;0;0;0;0;0
B410B;2015-10-10;24.9;14:40;13.3;07:30;19.1;36;16:50;25;16:50;0;0;0;0;0
B410B;2015-10-11;25.4;15:00;15.7;00:20;20.5;29;13:50;19;16:30;0;0;0;0;0
B410B;2015-10-12;25.5;15:20;19.1;23:59;;26;12:10;17;12:10;;0;;0;0
B410B;2015-10-13;22.0;16:50;17.4;04:40;19.7;47;14:40;31;14:40;3;0;2;1;0
B410B;2015-10-14;18.8;13:10;14.4;23:59;16.6;41;15:10;27;15:00;9.1;0;8.6;0.5;0
B410B;2015-10-15;22.6;12:50;13.4;05:40;18;35;17:10;26;17:20;0.1;0;0;0.1;0
B410B;2015-10-16;22.5;15:40;11.9;08:30;17.2;18;16:50;10;15:50;0;0;0;0;0
B410B;2015-10-17;22.8;15:00;13.5;05:20;18.1;28;12:20;16;15:30;0;0;0;0;0
B410B;2015-10-18;23.8;14:30;15.1;06:40;19.4;30;14:10;18;16:50;0;0;0;0;0
B410B;2015-10-19;22.9;13:00;19.8;18:00;21.3;35;12:50;22;12:40;2.2;0;0;1.6;0.6
B410B;2015-10-20;20.6;03:00;17.5;23:20;19.1;40;22:30;18;22:10;3;1.5;1.5;0;0
B410B;2015-10-21;19.0;14:30;12.3;23:30;15.7;58;11:50;41;11:50;0;0;0;0;0
B410B;2015-10-22;21.1;15:30;11.0;08:30;16.1;32;13:50;17;13:00;0;0;0;0;0
B410B;2015-10-23;22.6;12:50;7.6;07:20;;21;14:20;14;14:40;;0;0;0;
B410B;2015-10-24;22.2;14:40;10.2;03:10;;26;15:00;17;15:00;;;;;
B410B;2015-10-25;21.7;15:20;16.1;02:50;18.9;26;10:50;15;15:00;0.1;0;0;0;0.1
B410B;2015-10-26;21.4;14:20;17.0;07:50;19.2;32;12:20;21;12:30;2.4;0;2.4;0;0
B410B;2015-10-27;24.2;14:00;15.8;05:40;;22;14:50;12;13:50;;0;0;0;
B410B;2015-10-28;21.8;11:40;17.3;06:30;19.5;48;15:10;28;13:00;0;0;0;0;0
B410B;2015-10-29;23.6;13:00;9.5;07:10;;33;14:20;26;15:20;;0;0;;
B410B;2015-10-30;24.1;13:50;10.7;04:40;;20;15:10;11;16:20;;;;;
B410B;2015-10-31;22.0;15:40;11.5;05:00;;18;16:20;8;01:10;;;;;
B410B;2015-11-01;22.1;14:10;12.4;04:20;;31;14:20;15;14:20;;;;;
B410B;2015-11-02;20.2;12:20;16.7;23:50;;74;10:50;28;13:30;;;;;
B410B;2015-11-03;22.2;15:00;13.9;23:50;18.1;23;14:10;13;11:40;1.2;1.1;0;0;0.1
B410B;2015-11-04;22.4;13:50;13.6;06:10;18;24;15:00;18;16:10;0.1;0;0.1;0;0
