Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B603X;2013-05-09;28.5;16:20;15.7;07:20;22.1;27;18:30;17;18:30;0;0;0;0;0
B603X;2013-05-10;20.4;16:10;14.1;22:40;17.3;45;08:40;5;08:40;0;0;0;0;0
B603X;2013-05-11;20.0;14:00;13.3;01:50;16.7;19;18:10;3;18:00;0;0;0;0;0
B603X;2013-05-12;21.1;12:10;12.1;06:50;16.6;22;20:00;7;23:50;0;0;0;0;0
B603X;2013-05-13;21.4;13:40;11.8;06:10;16.6;37;17:20;19;17:40;0;0;0;0;0
B603X;2013-05-14;21.5;14:30;12.9;06:10;17.2;32;15:50;5;09:00;0;0;0;0;0
B603X;2013-05-15;20.9;17:40;14.2;04:10;17.5;22;02:10;13;21:30;0.2;0;0.2;0;0
B603X;2013-05-16;17.2;09:20;11.5;15:50;14.4;46;15:30;17;09:00;7.6;0.2;0.4;7;0
B603X;2013-05-17;21.0;16:50;10.7;06:40;15.8;56;18:00;23;10:00;1.4;0;1.4;0;0
B603X;2013-05-18;19.4;16:00;14.2;21:50;16.8;100;07:30;66;07:40;10.4;0.2;10.2;0;0
B603X;2013-05-19;22.1;14:00;13.4;06:00;;25;02:10;0;02:10;;0;0;;
B603X;2013-05-20;18.5;15:20;11.4;05:10;14.9;3;11:40;0;11:50;0.2;0;0;0.2;0
B603X;2013-05-21;16.4;10:20;12.1;02:20;14.3;43;23:59;1;09:50;0.4;0;0;0.4;0
B603X;2013-05-22;22.7;19:10;13.0;06:10;17.9;48;00:40;3;23:20;0;0;0;0;0
B603X;2013-05-23;22.2;16:50;14.8;23:50;18.5;30;20:50;3;20:50;0;0;0;0;0
B603X;2013-05-24;17.7;12:10;12.2;21:40;15;30;12:50;0;00:10;0;0;0;0;0
B603X;2013-05-25;18.9;15:40;11.6;05:00;15.3;39;10:30;0;00:10;0;0;0;0;0
B603X;2013-05-26;19.4;15:40;12.3;01:30;15.8;25;14:20;0;00:10;0;0;0;0;0
B603X;2013-05-27;18.4;18:10;11.7;04:10;15;39;13:00;33;13:00;0;0;0;0;0
B603X;2013-05-28;25.5;15:00;14.1;06:20;19.8;54;21:40;39;21:50;0;0;0;0;0
B603X;2013-05-29;21.3;18:10;12.4;06:30;16.8;44;15:40;27;11:30;0;0;0;0;0
B603X;2013-05-30;18.2;17:00;14.6;09:50;;66;08:40;43;08:50;;0;0.2;0;
B603X;2013-05-31;20.1;15:40;12.4;06:10;16.3;51;13:40;36;16:40;0;0;0;0;0
B603X;2013-06-01;24.9;18:10;14.7;05:10;19.8;46;15:40;21;14:50;0.2;0.2;0;0;0
B603X;2013-06-02;25.7;12:30;15.0;05:50;20.4;53;14:10;36;14:10;0;0;0;0;0
B603X;2013-06-03;24.6;13:10;14.2;03:20;19.4;34;15:30;29;15:30;0;0;0;0;0
B603X;2013-06-04;24.8;18:10;14.3;05:20;19.5;32;17:30;27;17:50;0;0;0;0;0
