Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B656A;2015-05-05;30.4;13:50;18.2;23:59;;40;10:00;22;10:00;;;;;
B656A;2015-05-06;23.8;17:30;14.9;23:59;;30;12:50;18;12:00;;;;;
B656A;2015-05-07;25.6;16:40;11.7;06:20;;26;15:00;16;15:40;;;;;
B656A;2015-05-08;27.2;17:50;11.1;07:00;;40;16:10;20;15:50;;;;;
B656A;2015-05-09;27.5;15:50;12.4;06:50;;27;17:10;13;17:50;;;;;
B656A;2015-05-10;28.1;14:20;11.9;07:00;;27;15:30;17;16:50;;;;;
B656A;2015-05-11;28.3;16:00;11.6;06:50;;33;15:50;14;16:30;;;;;
B656A;2015-05-12;29.3;16:00;10.8;06:50;;30;15:10;17;14:50;;;;;
B656A;2015-05-13;31.2;16:50;11.2;06:20;;33;13:10;15;17:20;;;;;
B656A;2015-05-14;34.2;14:40;18.0;00:50;;50;13:00;35;14:50;;;;;
B656A;2015-05-15;22.6;17:30;15.2;07:10;;39;02:20;24;03:20;;;;;
B656A;2015-05-16;21.7;14:40;11.6;04:40;;57;14:00;31;12:50;;;;;
B656A;2015-05-17;23.7;14:50;11.4;06:50;;40;13:40;25;10:30;;;;;
B656A;2015-05-18;27.4;16:20;13.1;03:50;;31;14:20;14;13:50;;;;;
B656A;2015-05-19;22.6;12:40;12.0;06:30;;38;15:50;26;15:50;;;;;
B656A;2015-05-20;18.3;13:20;13.5;23:20;;38;11:20;25;11:20;;;;;
B656A;2015-05-21;19.6;18:50;11.1;07:20;;32;17:10;19;07:00;;;;;
B656A;2015-05-22;20.7;15:50;8.9;06:20;;33;16:40;19;16:40;;;;;
B656A;2015-05-23;22.8;14:10;10.5;04:00;;35;14:20;19;14:30;;;;;
B656A;2015-05-24;23.5;13:00;9.7;04:50;;24;16:20;15;16:20;;;;;
B656A;2015-05-25;23.2;14:30;10.4;06:40;;37;16:50;22;16:30;;;;;
B656A;2015-05-26;25.1;14:50;14.8;00:40;;42;15:20;27;15:20;;;;;
B656A;2015-05-27;22.6;12:40;12.6;06:20;;24;13:40;14;13:50;;;;;
B656A;2015-05-28;26.1;15:30;11.8;05:10;;28;15:10;14;15:10;;;;;
B656A;2015-05-29;26.3;15:00;10.5;06:20;;27;16:30;16;15:20;;;;;
B656A;2015-05-30;27.2;15:50;11.8;06:50;;33;13:40;15;14:20;;;;;
B656A;2015-05-31;27.7;14:10;13.9;05:10;;29;15:10;18;15:40;;;;;
B656A;2015-06-01;27.7;14:30;13.7;06:50;;31;14:40;19;15:10;;;;;
B656A;2015-06-02;28.6;13:00;13.4;06:10;21;29;13:40;18;14:40;0;0;0;0;0
B656A;2015-06-03;31.0;15:00;12.6;05:10;21.8;37;14:20;18;16:10;0;0;0;0;0
B656A;2015-06-04;31.1;15:00;11.9;06:20;21.5;33;15:00;17;15:00;0;0;0;0;0
B656A;2015-06-05;32.0;14:20;13.1;06:30;22.6;49;14:20;23;15:20;0;0;0;0;0
