Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
B986;2015-06-02;25.4;14:50;15.7;05:00;;24;14:30;16;15:50;;;;0;0
B986;2015-06-03;27.5;14:40;15.5;05:00;21.5;35;16:30;25;11:40;0;0;0;0;0
B986;2015-06-04;28.7;15:30;19.1;02:20;23.9;33;14:00;24;12:30;0;0;0;0;0
B986;2015-06-05;28.0;13:00;19.1;05:30;23.6;26;14:10;19;14:30;0;0;0;0;0
B986;2015-06-06;29.2;13:30;17.4;06:20;23.3;30;16:50;23;16:50;0;0;0;0;0
B986;2015-06-07;30.4;14:40;15.9;05:00;23.1;39;13:00;28;15:00;0.1;0;0.1;0;0
B986;2015-06-08;28.9;15:10;17.9;03:00;23.4;42;13:30;31;13:50;0;0;0;0;0
B986;2015-06-09;30.7;15:30;17.6;04:20;24.2;24;12:00;17;13:40;0;0;0;0;0
B986;2015-06-10;29.1;15:40;20.9;06:20;25;35;16:50;25;18:00;0;0;0;0;0
B986;2015-06-11;30.1;16:00;22.0;04:50;26.1;41;09:30;29;21:30;0;0;0;0;0
B986;2015-06-12;28.6;13:20;19.2;04:10;23.9;33;22:40;26;22:50;0;0;0;0;0
B986;2015-06-13;29.3;14:10;19.9;02:10;24.6;39;21:20;28;21:20;0;0;0;0;0
B986;2015-06-14;29.6;16:30;18.4;02:20;24;46;18:40;31;18:40;0;0;0;0;0
B986;2015-06-15;28.1;15:20;18.8;01:10;23.4;32;09:20;23;09:20;0;0;0;0;0
B986;2015-06-16;25.9;13:10;16.8;23:59;21.3;42;15:10;26;15:10;0;0;0;0;0
B986;2015-06-17;28.8;13:50;15.3;02:50;22;28;15:50;20;15:40;0;0;0;0;0
B986;2015-06-18;30.1;13:00;15.6;06:30;22.9;26;14:40;17;16:00;0;0;0;0;0
B986;2015-06-19;29.6;13:50;16.9;06:50;23.3;26;10:20;19;10:40;0;0;0;0;0
B986;2015-06-20;28.7;15:40;16.8;06:10;22.8;37;13:00;20;14:40;0;0;0;0;0
B986;2015-06-21;29.9;15:20;18.3;03:20;24.1;26;15:30;18;16:10;0;0;0;0;0
B986;2015-06-22;30.3;14:50;19.6;05:20;24.9;28;11:30;16;15:00;0;0;0;0;0
B986;2015-06-23;28.6;14:50;19.3;06:10;;30;11:00;21;11:00;;0;0;;
B986;2015-06-24;30.2;13:10;19.6;06:20;24.9;39;12:20;27;11:50;0;0;0;0;0
B986;2015-06-25;31.4;16:20;17.8;03:30;24.6;26;13:20;18;16:30;0;0;0;0;0
B986;2015-06-26;29.8;14:50;18.0;05:10;23.9;33;15:20;25;15:10;0;0;0;0;0
B986;2015-06-27;31.1;16:20;20.8;05:30;25.9;28;13:00;19;13:30;0;0;0;0;0
B986;2015-06-28;32.3;14:30;19.3;05:00;25.8;18;11:10;14;17:10;0;0;0;0;0
B986;2015-06-29;34.1;14:10;20.7;03:50;27.4;22;15:30;17;18:20;0;0;0;0;0
B986;2015-06-30;31.4;14:50;21.3;04:50;26.3;28;13:30;19;17:30;0;0;0;0;0
B986;2015-07-01;30.6;16:00;22.3;05:40;26.4;42;13:50;33;13:40;0;0;0;0;0
B986;2015-07-02;30.9;14:40;23.7;02:00;27.3;46;11:40;34;12:20;0;0;0;0;0
B986;2015-07-03;31.4;15:40;23.1;03:40;27.3;46;13:30;33;13:00;0;0;0;0;0
B986;2015-07-04;32.0;14:30;23.8;04:30;27.9;42;14:30;28;13:10;0;0;0;0;0
B986;2015-07-05;32.0;15:10;23.5;06:40;27.8;30;16:30;21;14:00;0;0;0;0;0
B986;2015-07-06;32.9;14:30;22.4;04:20;27.7;30;10:00;22;10:00;0;0;0;0;0
B986;2015-07-07;34.2;13:30;21.4;06:20;27.8;24;13:50;17;13:50;0;0;0;0;0
B986;2015-07-08;34.7;12:50;22.8;03:30;28.8;26;20:50;19;21:30;0;0;0;0;0
B986;2015-07-09;31.1;13:40;24.1;02:30;27.6;30;14:40;19;06:20;0;0;0;0;0
B986;2015-07-10;31.3;16:30;20.2;06:10;25.8;30;17:10;20;15:50;0;0;0;0;0
B986;2015-07-11;31.9;14:20;23.4;07:00;27.6;24;12:20;16;15:30;0;0;0;0;0
B986;2015-07-12;32.3;14:40;19.9;06:20;26.1;26;14:40;18;15:30;0;0;0;0;0
B986;2015-07-13;32.0;16:20;21.2;06:00;26.6;28;18:20;16;14:50;0;0;0;0;0
B986;2015-07-14;32.9;12:20;21.0;07:00;27;28;14:50;17;15:20;0;0;0;0;0
B986;2015-07-15;32.6;15:20;20.8;06:20;26.7;26;13:10;15;13:00;0;0;0;0;0
B986;2015-07-16;34.3;16:00;20.7;06:00;27.5;26;14:00;16;13:30;0;0;0;0;0
B986;2015-07-17;33.1;16:30;21.6;07:20;27.3;26;16:10;17;17:40;0;0;0;0;0
B986;2015-07-18;32.9;14:30;21.9;06:20;27.4;33;11:00;24;11:00;0;0;0;0;0
B986;2015-07-19;32.8;14:10;22.1;06:50;27.4;28;13:00;20;16:10;0;0;0;0;0
B986;2015-07-20;32.9;14:40;22.0;07:00;27.5;28;11:30;18;14:40;0;0;0;0;0
B986;2015-07-21;33.7;16:30;22.2;05:50;28;37;12:20;19;18:20;0;0;0;0;0
B986;2015-07-22;33.9;15:20;23.7;07:00;28.8;33;21:30;21;21:30;0;0;0;0;0
B986;2015-07-23;33.5;15:40;23.6;06:10;28.6;33;16:10;19;15:00;0;0;0;0;0
B986;2015-07-24;33.1;15:10;25.3;06:20;29.2;35;15:30;26;18:00;0;0;0;0;0
B986;2015-07-25;33.8;14:00;25.9;05:30;29.8;37;00:50;26;19:00;0;0;0;0;0
B986;2015-07-26;32.2;15:40;25.0;07:10;28.6;37;15:00;21;00:50;0;0;0;0;0
B986;2015-07-27;34.3;15:50;25.4;06:20;29.8;32;14:30;24;14:30;0;0;0;0;0
