Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C019V;2015-05-05;21.7;14:20;14.4;23:59;;39;14:50;24;17:00;;;;;
C019V;2015-05-06;24.5;13:30;13.1;05:50;;37;12:40;20;14:00;;;;;
C019V;2015-05-07;24.0;14:10;13.6;02:20;;34;18:30;24;18:10;;;;;
C019V;2015-05-08;22.9;14:10;14.6;05:40;;41;11:20;29;17:30;;;;;
C019V;2015-05-09;22.5;16:10;14.3;07:00;;41;14:40;29;08:50;;;;;
C019V;2015-05-10;24.1;13:40;13.9;06:40;;32;14:00;20;05:50;;;;;
C019V;2015-05-11;31.1;15:30;14.1;04:50;;38;12:00;27;13:30;;;;;
C019V;2015-05-12;37.5;17:50;19.6;07:30;;61;08:50;39;07:30;;;;;
C019V;2015-05-13;39.3;15:00;20.8;22:50;;51;12:30;32;23:50;;;;;
C019V;2015-05-14;37.7;14:30;20.6;00:30;;46;00:20;31;00:20;;;;;
C019V;2015-05-15;32.6;13:20;16.4;23:59;;58;05:00;36;11:10;;;;;
C019V;2015-05-16;21.9;13:30;15.1;06:20;;53;01:40;41;01:50;;;;;
C019V;2015-05-17;24.0;15:10;15.0;03:40;;46;04:00;35;04:20;;;;;
C019V;2015-05-18;19.9;15:40;14.5;06:40;;49;18:10;37;23:59;;;;;
C019V;2015-05-19;19.2;12:50;14.9;03:10;;67;12:00;52;12:00;;;;;
C019V;2015-05-20;18.7;14:50;14.0;06:50;;80;19:50;63;19:50;;;;;
C019V;2015-05-21;19.0;12:00;14.0;05:00;;79;04:00;63;19:10;;;;;
C019V;2015-05-22;18.3;15:10;14.3;05:40;;66;00:10;52;00:20;;;;;
C019V;2015-05-23;19.6;14:20;14.3;03:40;;56;20:00;42;13:20;;;;;
C019V;2015-05-24;18.8;16:10;14.3;01:40;;53;10:00;41;11:20;;;;;
C019V;2015-05-25;20.0;14:20;14.2;06:50;;42;00:20;31;02:30;;;;;
C019V;2015-05-26;20.6;14:10;14.2;03:00;;46;20:40;33;20:40;;;;;
C019V;2015-05-27;20.9;14:30;14.6;01:20;;36;19:10;27;19:40;;;;;
C019V;2015-05-28;20.4;16:20;15.0;06:10;;46;18:30;30;17:10;;;;;
C019V;2015-05-29;21.8;15:20;14.6;06:20;;47;20:50;35;21:10;;;;;
C019V;2015-05-30;22.8;14:30;15.0;05:10;;39;22:10;27;23:50;;;;;
C019V;2015-05-31;20.6;15:00;14.8;04:40;;59;18:40;43;19:20;;;;;
C019V;2015-06-01;19.6;15:20;14.5;04:50;;72;17:50;51;16:10;;;;;
C019V;2015-06-02;22.9;13:40;19.0;04:10;20.9;55;12:50;36;11:30;0;0;0;0;0
C019V;2015-06-03;23.2;14:50;18.7;05:00;21;50;16:20;30;23:00;0;0;0;0;0
C019V;2015-06-04;23.7;15:00;18.4;06:30;21.1;44;19:40;28;20:50;0;0;0;0;0
C019V;2015-06-05;22.9;14:00;18.9;06:20;20.9;39;15:10;26;12:00;0;0;0;0;0
C019V;2015-06-06;22.6;11:10;19.0;00:00;20.8;31;20:20;20;16:30;0;0;0;0;0
C019V;2015-06-07;22.8;13:40;19.3;22:30;21;38;18:30;23;17:30;0;0;0;0;0
C019V;2015-06-08;21.8;15:40;19.0;06:50;20.4;36;14:40;20;16:20;0;0;0;0;0
C019V;2015-06-09;22.5;14:00;18.5;03:00;20.5;39;16:00;24;16:10;0;0;0;0;0
C019V;2015-06-10;22.8;13:20;18.2;01:50;20.5;35;16:00;21;15:20;0;0;0;0;0
C019V;2015-06-11;23.5;15:00;17.3;07:10;20.4;34;16:10;22;16:10;0;0;0;0;0
C019V;2015-06-12;23.9;15:30;16.8;06:40;20.3;30;12:30;20;12:30;0;0;0;0;0
C019V;2015-06-13;24.3;14:10;17.2;06:10;20.8;30;17:30;18;11:20;0;0;0;0;0
C019V;2015-06-14;22.8;11:30;19.1;05:50;20.9;44;18:10;26;18:00;0;0;0;0;0
C019V;2015-06-15;23.5;14:50;18.1;04:00;20.8;43;15:50;25;15:20;0;0;0;0;0
C019V;2015-06-16;23.8;14:40;18.6;07:10;21.2;46;20:10;29;19:50;0;0;0;0;0
C019V;2015-06-17;23.3;15:10;19.4;06:20;21.3;46;14:30;26;12:50;0;0;0;0;0
C019V;2015-06-18;23.3;13:30;19.2;04:50;21.3;43;16:50;29;16:50;0;0;0;0;0
C019V;2015-06-19;23.5;13:40;18.6;07:10;21.1;43;15:10;28;15:20;0;0;0;0;0
C019V;2015-06-20;23.2;12:40;19.1;02:50;21.2;49;14:40;30;14:20;0;0;0;0;0
C019V;2015-06-21;23.2;13:20;19.1;03:30;21.2;37;14:50;24;14:00;0;0;0;0;0
C019V;2015-06-22;23.3;15:00;19.3;02:10;21.3;36;16:20;23;17:10;0;0;0;0;0
C019V;2015-06-23;23.6;13:00;19.2;04:30;21.4;41;15:20;25;15:10;0;0;0;0;0
C019V;2015-06-24;23.8;15:00;19.5;05:30;21.6;46;17:40;27;16:20;0;0;0;0;0
C019V;2015-06-25;23.9;13:00;19.5;03:30;21.7;42;13:40;26;15:40;0;0;0;0;0
C019V;2015-06-26;23.8;16:20;20.7;00:50;22.3;43;16:30;26;17:20;0;0;0;0;0
C019V;2015-06-27;23.8;15:50;20.3;01:50;22;37;18:10;24;17:20;0;0;0;0;0
C019V;2015-06-28;24.3;15:50;20.3;07:10;22.3;41;16:30;28;16:10;0;0;0;0;0
C019V;2015-06-29;24.8;16:00;18.9;06:10;21.8;44;17:00;26;16:30;0;0;0;0;0
C019V;2015-06-30;25.8;14:20;18.3;06:00;22;39;18:20;24;22:50;;0;;0;0
C019V;2015-07-01;24.8;16:20;19.3;06:10;22;53;18:20;25;10:40;0;0;0;0;0
C019V;2015-07-02;25.9;13:50;20.1;01:50;23;47;16:50;27;19:00;0;0;0;0;0
C019V;2015-07-03;26.0;13:10;20.2;06:50;23.1;51;16:00;28;20:50;0;0;0;0;0
C019V;2015-07-04;24.9;13:40;19.4;06:50;22.1;49;09:20;31;09:30;0;0;0;0;0
C019V;2015-07-05;29.6;18:30;16.3;06:50;;36;15:20;22;15:20;;;0;0;0
C019V;2015-07-06;30.6;14:30;21.1;06:20;25.9;39;06:00;23;06:50;0;0;0;0;0
C019V;2015-07-07;30.4;02:00;21.9;05:30;26.1;54;01:10;31;01:20;0;0;0;0;0
C019V;2015-07-08;28.6;11:10;21.6;06:40;25.1;49;17:10;32;17:10;0;0;0;0;0
