Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C315P;2013-05-07;24.1;16:20;15.4;05:50;19.8;15;16:10;10;15:40;0;0;0;0;0
C315P;2013-05-08;24.7;12:50;16.1;06:40;20.4;15;08:50;9;13:40;0;0;0;0;0
C315P;2013-05-09;24.2;16:50;18.2;08:10;21.2;16;22:00;11;06:40;0;0;0;0;0
C315P;2013-05-10;24.7;16:20;18.2;04:20;21.5;26;01:30;19;01:50;0;0;0;0;0
C315P;2013-05-11;24.1;16:40;16.7;06:50;20.4;23;02:10;17;02:20;0;0;0;0;0
C315P;2013-05-12;24.8;15:00;17.2;21:20;21;36;09:00;23;09:20;0;0;0;0;0
C315P;2013-05-13;20.4;16:10;10.0;23:30;15.2;35;22:40;26;22:40;0;0;0;0;0
C315P;2013-05-14;14.2;15:40;8.6;23:40;11.4;59;23:10;26;01:10;0;0;0;0;0
C315P;2013-05-15;12.3;14:30;7.6;03:00;10;60;05:40;28;02:20;1;0.2;0;0.2;0.6
C315P;2013-05-16;13.2;12:30;6.2;06:10;9.7;42;07:20;26;08:20;3.6;0;0;0.6;3
C315P;2013-05-17;12.8;16:40;6.1;06:20;9.5;45;09:50;21;23:59;0.6;0.4;0.2;0;0
C315P;2013-05-18;12.7;13:30;7.3;07:30;10;47;01:10;28;06:50;0;0;0;0;0
C315P;2013-05-19;21.8;12:10;17.3;05:20;;42;04:40;33;21:10;;0;0;;
C315P;2013-05-20;9.4;17:00;5.4;23:30;;40;21:40;31;21:10;;;;;
C315P;2013-05-21;8.8;15:20;5.0;02:30;;44;02:50;32;01:10;;;;0;0.4
C315P;2013-05-22;10.2;15:20;6.7;04:40;8.4;37;19:50;20;23:20;0.4;0;0.2;0.2;0
C315P;2013-05-23;14.9;13:50;6.6;05:40;10.7;44;07:30;33;23:30;0;0;0;0;0
C315P;2013-05-24;14.9;16:20;7.4;05:50;11.1;42;04:30;32;23:00;0;0;0;0;0
C315P;2013-05-25;14.8;14:20;7.5;06:50;11.2;48;20:30;37;22:00;0;0;0;0;0
C315P;2013-05-26;12.8;14:10;7.0;09:00;9.9;59;00:30;38;00:20;0.4;0;0.2;0;0.2
C315P;2013-05-27;13.0;16:00;7.0;01:50;10;46;00:10;32;02:10;0;0;0;0;0
C315P;2013-05-28;14.9;16:20;6.8;04:20;10.8;42;22:10;25;22:20;0;0;0;0;0
C315P;2013-05-29;14.5;17:00;8.0;00:40;11.3;46;01:30;32;01:30;0.2;0;0;0.2;0
C315P;2013-05-30;11.8;14:30;7.8;08:10;9.8;57;20:30;26;19:20;0.6;0.2;0.2;0;0.2
C315P;2013-05-31;11.4;15:30;7.5;23:40;9.4;60;04:30;39;23:30;0.6;0.6;0;0;0
C315P;2013-06-01;14.7;14:00;7.2;00:40;10.9;62;00:30;41;03:40;0.2;0.2;0;0;0
C315P;2013-06-02;19.0;16:40;7.8;01:10;13.4;39;00:30;30;01:00;0;0;0;0;0
C315P;2013-06-03;19.0;16:10;11.7;03:30;15.3;30;00:30;21;00:10;0;0;0;0;0
C315P;2013-06-04;16.9;14:50;8.3;07:50;12.6;33;07:00;23;07:10;0;0;0;0;0
C315P;2013-06-05;13.8;15:20;8.0;07:20;10.9;38;17:10;18;00:40;0;0;0;0;0
C315P;2013-06-06;16.9;17:50;8.0;08:10;12.4;48;21:30;34;06:10;0;0;0;0;0
C315P;2013-06-07;17.0;16:40;8.1;02:20;12.6;50;20:30;35;23:50;0;0;0;0;0
C315P;2013-06-08;14.2;16:10;8.2;23:59;11.2;53;06:30;37;07:50;0;0;0;0;0
C315P;2013-06-09;17.1;16:50;7.1;05:30;12.1;49;08:30;35;07:10;0.2;0;0.2;0;0
C315P;2013-06-10;16.7;16:00;7.8;05:30;12.3;47;22:40;32;05:40;0;0;0;0;0
C315P;2013-06-11;22.5;16:30;8.9;02:50;15.7;52;00:30;36;07:40;0;0;0;0;0
C315P;2013-06-12;22.6;15:50;9.8;23:50;16.2;46;23:59;34;23:50;0;0;0;0;0
C315P;2013-06-13;17.2;14:20;9.8;00:00;13.5;54;20:40;33;20:40;0.2;0;0.2;0;0
C315P;2013-06-14;21.3;15:40;10.2;03:30;15.7;51;03:30;35;22:00;0;0;0;0;0
C315P;2013-06-15;25.1;16:40;13.4;01:10;19.3;48;00:50;30;00:50;0;0;0;0;0
C315P;2013-06-16;25.2;15:20;17.0;03:50;21.1;40;22:20;27;08:00;0;0;0;0;0
C315P;2013-06-17;23.1;16:00;10.8;22:00;17;51;23:40;37;23:59;0;0;0;0;0
C315P;2013-06-18;12.9;16:40;9.0;23:00;10.9;54;22:00;36;02:10;1.2;0.2;1;0;0
C315P;2013-06-19;17.3;16:10;8.1;06:00;12.7;57;08:50;44;08:00;0.2;0;0.2;0;0
C315P;2013-06-20;15.3;18:10;8.8;07:40;12.1;55;21:40;37;06:50;0;0;0;0;0
C315P;2013-06-21;17.5;15:50;9.4;02:10;13.4;55;10:20;35;01:10;0;0;0;0;0
C315P;2013-06-22;21.4;15:40;9.6;07:50;15.5;57;00:30;36;09:10;0.2;0.2;0;0;0
C315P;2013-06-23;23.0;13:10;15.8;08:00;19.4;27;21:20;22;22:20;0;0;0;0;0
C315P;2013-06-24;26.4;13:50;17.5;02:20;21.9;18;07:00;12;07:00;0;0;0;0;0
C315P;2013-06-25;27.3;15:00;19.3;05:30;23.3;31;23:40;22;23:00;0;0;0;0;0
C315P;2013-06-26;30.3;14:40;18.6;07:10;24.4;44;20:30;25;22:30;0;0;0;0;0
C315P;2013-06-27;34.3;15:20;21.6;01:10;27.9;42;00:20;25;00:20;0;0;0;0;0
C315P;2013-06-28;33.9;15:30;19.7;23:59;26.8;45;22:50;27;22:50;0;0;0;0;0
C315P;2013-06-29;25.9;14:30;18.7;01:40;22.3;61;23:50;29;21:30;0;0;0;0;0
C315P;2013-06-30;22.8;14:30;15.2;23:50;19;62;04:30;31;06:00;0;0;0;0;0
C315P;2013-07-01;24.8;14:30;14.2;05:00;19.5;54;20:10;30;00:20;0;0;0;0;0
C315P;2013-07-02;25.4;15:50;15.7;05:10;20.5;53;04:50;28;01:40;0;0;0;0;0
C315P;2013-07-03;27.0;17:50;17.8;08:10;22.4;37;01:40;26;01:20;0;0;0;0;0
C315P;2013-07-04;26.9;15:40;18.5;21:40;22.7;28;14:40;18;22:30;0;0;0;0;0
C315P;2013-07-05;27.0;17:20;17.9;01:40;22.4;24;16:00;17;23:00;0;0;0;0;0
C315P;2013-07-06;27.8;16:30;18.9;05:30;23.3;27;11:10;16;22:20;0;0;0;0;0
C315P;2013-07-07;28.5;16:30;18.9;07:30;23.7;42;20:30;21;21:20;0;0;0;0;0
C315P;2013-07-08;28.9;18:00;19.6;01:10;24.3;35;01:50;24;02:00;0;0;0;0;0
C315P;2013-07-09;31.1;14:40;22.7;03:50;26.9;49;11:30;31;09:20;0;0;0;0;0
C315P;2013-07-10;31.5;13:10;23.5;04:50;27.5;37;06:00;24;06:10;0;0;0;0;0
C315P;2013-07-11;30.4;14:30;21.9;22:20;26.1;42;18:00;24;17:50;0;0;0;0;0
C315P;2013-07-12;32.6;13:50;21.4;03:30;27;39;00:30;22;00:40;0;0;0;0;0
C315P;2013-07-13;30.0;15:00;22.9;07:10;26.4;31;03:40;20;01:30;0;0;0;0;0
C315P;2013-07-14;30.0;14:20;23.2;03:40;26.6;19;16:30;12;01:30;0;0;0;0;0
C315P;2013-07-15;30.4;16:50;22.9;06:10;26.6;22;06:00;15;06:10;0;0;0;0;0
C315P;2013-07-16;30.9;15:30;22.9;05:10;26.9;27;12:40;15;07:30;0;0;0;0;0
C315P;2013-07-17;30.9;15:50;22.2;03:40;26.6;29;23:30;18;23:50;0;0;0;0;0
C315P;2013-07-18;30.2;15:20;20.3;22:30;25.3;40;22:50;23;22:50;0;0;0;0;0
C315P;2013-07-19;23.5;14:20;12.3;23:59;17.9;56;21:10;32;23:50;0;0;0;0;0
C315P;2013-07-20;17.3;13:50;12.2;00:40;14.7;60;00:30;31;09:30;0.2;0;0.2;0;0
C315P;2013-07-21;23.0;17:20;12.2;07:50;17.6;46;03:20;32;04:40;0;0;0;0;0
C315P;2013-07-22;23.7;17:10;13.1;00:20;18.4;39;00:30;29;00:10;0;0;0;0;0
C315P;2013-07-23;25.4;16:20;19.0;08:30;22.2;27;23:59;18;23:40;0;0;0;0;0
C315P;2013-07-24;26.1;12:00;19.2;22:50;22.7;40;19:50;24;19:50;0;0;0;0;0
C315P;2013-07-25;23.4;15:00;14.0;23:59;18.7;44;09:00;31;17:50;0;0;0;0;0
C315P;2013-07-26;25.2;15:00;13.1;06:20;19.2;49;00:30;32;01:00;0;0;0;0;0
C315P;2013-07-27;24.8;13:40;18.0;00:20;21.4;22;00:40;17;01:50;0;0;0;0;0
C315P;2013-07-28;27.0;15:20;19.8;02:40;23.4;24;23:40;17;23:50;0;0;0;0;0
C315P;2013-07-29;28.6;15:20;20.6;01:10;24.6;45;23:40;27;16:50;0;0;0;0;0
C315P;2013-07-30;25.1;15:10;19.5;21:10;22.3;51;22:00;28;01:30;0;0;0;0;0
C315P;2013-07-31;31.4;14:50;20.4;00:10;25.9;49;00:20;28;22:30;0;0;0;0;0
C315P;2013-08-01;27.1;12:20;19.5;23:59;23.3;40;23:59;32;23:59;0;0;0;0;0
C315P;2013-08-02;24.8;13:50;13.0;23:10;18.9;55;22:50;39;19:40;0;0;0;0;0
C315P;2013-08-03;25.2;15:00;13.2;00:20;19.2;51;09:20;35;00:50;0.2;0.2;0;0;0
C315P;2013-08-04;32.3;13:30;19.9;00:00;26.1;47;23:59;32;20:40;0;0;0;0;0
C315P;2013-08-05;31.8;14:20;20.3;01:30;26;52;02:50;33;03:10;0;0;0;0;0
C315P;2013-08-06;35.1;16:30;19.9;02:30;27.5;49;21:40;38;20:20;0;0;0;0;0
C315P;2013-08-07;33.0;16:20;19.8;03:00;26.4;52;00:30;39;03:00;0;0;0;0;0
C315P;2013-08-08;33.5;14:10;22.2;00:50;27.9;40;04:10;23;00:10;0;0;0;0;0
C315P;2013-08-09;33.2;15:10;23.6;04:10;28.4;33;00:20;19;00:20;0;0;0;0;0
C315P;2013-08-10;33.0;15:20;26.1;00:00;29.6;27;13:50;16;23:50;0;0;0;0;0
C315P;2013-08-11;33.0;18:00;25.9;06:20;29.4;23;00:30;16;02:20;0;0;0;0;0
C315P;2013-08-12;33.9;15:30;25.9;06:40;29.9;27;23:40;21;23:50;0;0;0;0;0
C315P;2013-08-13;34.1;14:00;26.9;08:00;30.5;28;00:10;20;00:10;0;0;0;0;0
C315P;2013-08-14;28.5;15:10;22.0;02:20;;18;16:30;9;16:30;;0;0;0;
C315P;2013-08-15;34.7;18:00;25.9;06:20;;31;07:10;22;07:00;;;;;
C315P;2013-08-16;36.5;15:20;27.5;02:10;32;43;15:40;23;10:30;0;0;0;0;0
C315P;2013-08-17;32.7;12:50;20.0;23:59;26.4;63;19:20;30;20:10;0;0;0;0;0
C315P;2013-08-18;23.5;15:30;16.3;07:20;19.9;67;09:10;32;22:30;0;0;0;0;0
C315P;2013-08-19;25.6;16:40;14.8;07:00;20.2;52;00:50;30;00:10;0;0;0;0;0
C315P;2013-08-20;27.1;13:50;21.0;23:40;24.1;41;21:30;24;22:30;0;0;0;0;0
C315P;2013-08-21;28.0;13:30;20.6;00:30;24.3;45;00:40;29;00:50;0;0;0;0;0
C315P;2013-08-22;29.4;15:00;21.3;03:40;25.3;47;14:20;23;17:00;0;0;0;0;0
C315P;2013-08-23;29.5;15:50;21.4;05:30;25.4;55;08:30;28;05:30;0;0;0;0;0
C315P;2013-08-24;31.7;14:40;20.8;23:50;26.3;44;00:30;28;09:40;0;0;0;0;0
C315P;2013-08-25;28.0;15:50;17.4;23:10;22.7;39;08:30;24;08:30;0;0;0;0;0
