Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C319W;2013-05-07;27.3;16:20;16.9;06:00;;16;15:50;11;07:40;;0;0;;
C319W;2013-05-08;27.2;16:00;15.1;07:00;21.2;27;17:40;18;17:40;0;0;0;0;0
C319W;2013-05-09;29.4;16:40;15.7;06:20;22.5;28;18:20;17;18:00;0;0;0;0;0
C319W;2013-05-10;26.5;17:40;16.9;07:40;21.7;22;13:10;14;13:00;0;0;0;0;0
C319W;2013-05-11;30.5;17:20;18.0;04:50;24.3;23;15:00;15;15:40;0;0;0;0;0
C319W;2013-05-12;26.4;15:20;17.1;07:20;21.8;30;16:50;19;16:30;0;0;0;0;0
C319W;2013-05-13;25.4;14:30;17.3;06:30;21.3;26;15:50;13;17:20;0;0;0;0;0
C319W;2013-05-14;25.0;15:00;17.2;06:20;21.1;39;21:40;19;17:00;0;0;0;0;0
C319W;2013-05-15;24.9;13:40;17.0;06:10;20.9;39;03:10;20;20:20;0;0;0;0;0
C319W;2013-05-16;25.3;12:30;13.9;08:10;19.6;33;22:10;19;02:30;0;0;0;0;0
C319W;2013-05-17;17.3;14:50;9.9;06:00;;23;11:10;8;15:30;;0;0;;
C319W;2013-05-18;25.2;12:20;14.4;06:00;19.8;28;23:30;16;23:30;0;0;0;0;0
C319W;2013-05-19;21.8;12:10;17.3;05:20;;42;04:40;33;21:10;;0;0;;
C319W;2013-05-20;23.9;12:10;15.9;07:50;19.9;22;00:10;13;16:00;0;0;0;0;0
C319W;2013-05-21;22.7;11:00;15.0;05:30;18.9;21;14:50;13;14:20;0;0;0;0;0
C319W;2013-05-22;14.4;13:30;10.7;04:10;;23;21:00;9;09:30;;0;0;;
C319W;2013-05-23;15.4;11:40;10.6;05:30;;21;13:40;11;13:40;;0;0;;
C319W;2013-05-24;23.7;15:30;14.3;06:10;19;23;14:30;13;14:20;0;0;0;0;0
C319W;2013-05-25;23.6;15:50;14.3;06:40;19;21;15:50;14;15:50;0;0;0;0;0
C319W;2013-05-26;16.6;14:30;11.4;07:40;;27;23:20;8;08:30;;0;0;;
C319W;2013-05-27;18.3;16:00;10.3;01:40;;24;08:30;10;10:40;;0;0;;
C319W;2013-05-28;18.3;16:10;10.8;04:00;;30;13:00;8;15:10;;0;0;;
C319W;2013-05-29;24.5;12:30;14.7;04:50;19.6;23;13:40;12;13:40;0;0;0;0;0
C319W;2013-05-30;16.7;14:10;11.5;07:20;;30;17:50;10;21:30;;0;0;;
C319W;2013-05-31;23.4;13:20;14.8;05:40;19.1;19;17:20;12;13:10;0;0;0;0;0
C319W;2013-06-01;23.3;12:20;15.9;04:10;19.6;22;19:00;12;18:50;0;0;0;0;0
C319W;2013-06-02;16.7;16:20;11.3;05:10;;18;13:10;7;11:50;;0;0;;
C319W;2013-06-03;23.7;15:00;14.0;04:50;18.9;22;16:50;13;16:50;0;0;0;0;0
C319W;2013-06-04;24.9;13:10;15.0;05:20;19.9;27;12:40;15;12:40;0;0;0;0;0
C319W;2013-06-05;16.2;15:10;12.3;04:20;;25;12:50;9;11:20;;0;0;;
C319W;2013-06-06;24.1;14:10;15.2;08:00;19.7;26;04:00;13;03:40;0;0;0;0;0
C319W;2013-06-07;24.6;15:50;14.0;06:50;19.3;22;17:20;13;17:00;0;0;0;0;0
C319W;2013-06-08;23.5;13:30;16.4;06:30;19.9;24;16:50;14;16:50;0;0;0;0;0
C319W;2013-06-09;23.1;16:30;14.5;06:00;18.8;23;13:40;13;12:10;0;0;0;0;0
C319W;2013-06-10;24.6;13:40;15.6;02:30;20.1;25;18:10;14;18:20;0;0;0;0;0
C319W;2013-06-11;24.7;13:20;15.1;07:30;19.9;23;14:30;14;14:30;0;0;0;0;0
C319W;2013-06-12;24.8;13:20;15.4;06:00;20.1;22;14:00;14;15:30;0;0;0;0;0
C319W;2013-06-13;24.9;14:20;15.2;06:20;20;19;16:40;13;16:10;0;0;0;0;0
C319W;2013-06-14;24.4;16:30;17.7;03:40;21.1;18;05:50;12;13:40;0;0;0;0;0
C319W;2013-06-15;25.6;14:40;16.5;05:10;21.1;17;22:30;11;22:10;0;0;0;0;0
C319W;2013-06-16;24.3;11:50;15.3;06:10;19.8;24;14:50;14;14:40;0;0;0;0;0
C319W;2013-06-17;25.5;13:20;16.5;07:00;21;23;16:00;14;15:40;0;0;0;0;0
C319W;2013-06-18;14.5;05:30;12.4;12:00;;30;07:10;12;07:10;;0;0;;
C319W;2013-06-19;25.1;14:30;16.3;01:20;20.7;22;17:00;14;15:10;0;0;0;0;0
C319W;2013-06-20;24.1;16:10;15.6;05:40;19.9;17;20:40;10;17:30;0;0;0;0;0
C319W;2013-06-21;24.3;16:50;15.8;05:30;20;16;15:40;11;15:30;0;0;0;0;0
C319W;2013-06-22;25.4;15:10;15.9;06:40;20.6;17;13:30;12;15:40;0;0;0;0;0
C319W;2013-06-23;24.0;16:40;15.5;07:40;19.8;17;13:10;12;13:10;0;0;0;0;0
C319W;2013-06-24;24.5;16:10;16.3;03:50;20.4;17;14:50;10;14:30;0;0;0;0;0
C319W;2013-06-25;24.5;13:40;17.8;00:00;21.1;19;11:00;10;14:10;0;0;0;0;0
C319W;2013-06-26;24.5;14:40;15.9;04:00;20.2;27;19:20;15;19:20;0;0;0;0;0
C319W;2013-06-27;25.5;15:30;17.3;06:30;21.4;30;12:30;18;12:40;0;0;0;0;0
C319W;2013-06-28;32.3;16:00;18.5;00:40;25.4;16;07:00;10;15:20;0;0;0;0;0
C319W;2013-06-29;30.7;16:30;20.5;06:20;25.6;25;11:10;13;07:50;0;0;0;0;0
C319W;2013-06-30;29.4;14:00;19.4;23:59;24.4;30;03:50;12;14:50;0;0;0;0;0
C319W;2013-07-01;28.4;12:50;17.8;06:00;23.1;15;20:10;10;20:10;0;0;0;0;0
C319W;2013-07-02;25.9;13:50;17.5;07:20;21.7;25;17:40;14;15:20;0;0;0;0;0
C319W;2013-07-03;28.8;13:40;18.6;02:50;23.7;31;14:20;18;14:20;0;0;0;0;0
C319W;2013-07-04;24.5;16:10;17.4;07:40;20.9;22;04:40;12;12:30;0;0;0;0;0
