Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C406G;2013-05-07;22.7;14:20;11.1;07:20;16.9;36;19:20;21;14:30;0;0;0;0;0
C406G;2013-05-08;23.7;16:30;10.2;04:10;17;37;14:40;23;17:00;0;0;0;0;0
C406G;2013-05-09;24.2;14:10;8.2;07:50;16.2;31;15:50;20;15:00;0;0;0;0;0
C406G;2013-05-10;22.6;14:00;9.6;06:10;16.1;43;15:20;20;13:50;0;0;0;0;0
C406G;2013-05-11;20.8;14:00;8.0;07:10;14.4;48;14:10;21;14:40;0;0;0;0;0
C406G;2013-05-12;19.3;16:40;13.0;23:59;16.1;49;04:30;26;03:40;0;0;0;0;0
C406G;2013-05-13;16.5;15:00;10.9;07:00;13.7;58;13:10;32;12:30;0;0;0;0;0
C406G;2013-05-14;17.3;13:40;3.4;23:00;10.3;50;14:50;28;22:40;0;0;0;0;0
C406G;2013-05-15;18.8;15:10;5.3;23:59;12;58;06:00;37;06:30;0;0;0;0;0
C406G;2013-05-16;15.0;11:10;1.4;06:50;8.2;30;09:30;18;09:50;0;0;0;0;0
C406G;2013-05-17;16.0;14:00;0.2;06:20;8.1;67;15:00;35;17:00;0;0;0;0;0
C406G;2013-05-18;20.4;13:50;1.3;07:10;10.8;37;13:20;19;14:40;0;0;0;0;0
C406G;2013-05-19;21.5;15:20;18.0;06:30;;53;21:20;23;14:50;;0;0;;
C406G;2013-05-20;17.1;17:50;1.1;07:10;9.1;35;19:40;21;20:20;0;0;0;0;0
C406G;2013-05-21;16.9;13:00;1.2;06:00;9;41;14:20;23;13:30;0;0;0;0;0
C406G;2013-05-22;18.1;16:30;2.6;07:40;10.4;28;12:20;17;17:00;0;0;0;0;0
C406G;2013-05-23;16.7;14:20;0.5;07:30;8.6;40;18:50;20;18:20;0;0;0;0;0
C406G;2013-05-24;19.0;15:50;1.3;04:30;10.1;39;18:10;21;19:00;0;0;0;0;0
C406G;2013-05-25;20.9;17:20;3.9;06:30;12.4;48;15:30;23;11:40;0;0;0;0;0
C406G;2013-05-26;20.0;18:10;3.7;05:40;11.9;43;12:20;24;12:20;0;0;0;0;0
C406G;2013-05-27;18.0;14:40;2.6;07:10;10.3;34;16:20;19;16:20;0;0;0;0;0
C406G;2013-05-28;20.2;18:10;3.0;02:00;11.6;49;13:20;28;13:10;0;0;0;0;0
C406G;2013-05-29;18.2;17:00;5.7;02:10;12;43;14:40;22;16:10;0;0;0;0;0
C406G;2013-05-30;21.6;16:10;8.7;07:40;15.2;53;13:40;32;20:50;0;0;0;0;0
C406G;2013-05-31;20.7;15:30;4.4;05:40;12.6;43;16:40;27;16:40;0;0;0;0;0
C406G;2013-06-01;21.4;15:20;4.6;06:00;13;31;15:00;18;17:20;0;0;0;0;0
C406G;2013-06-02;21.2;17:40;4.1;06:50;12.7;35;14:40;16;15:10;0;0;0;0;0
C406G;2013-06-03;21.7;15:30;4.1;05:20;12.9;31;15:50;18;15:50;0;0;0;0;0
C406G;2013-06-04;20.0;15:40;4.4;04:00;12.2;39;17:10;21;13:50;0;0;0;0;0
C406G;2013-06-05;19.4;17:00;3.9;06:20;11.6;63;16:40;34;16:30;0;0;0;0;0
C406G;2013-06-06;20.0;15:40;3.4;06:20;11.7;37;12:00;20;20:30;0;0;0;0;0
C406G;2013-06-07;20.7;14:20;2.6;06:40;11.7;36;17:20;20;19:20;0;0;0;0;0
C406G;2013-06-08;22.0;16:10;4.3;07:10;13.2;47;17:10;23;17:10;0;0;0;0;0
C406G;2013-06-09;21.7;13:30;6.3;06:00;14;44;14:10;24;14:10;0;0;0;0;0
C406G;2013-06-10;20.9;18:40;8.6;23:30;14.8;48;16:40;22;13:40;0;0;0;0;0
C406G;2013-06-11;22.9;12:50;5.9;06:40;14.4;32;18:30;15;13:00;0;0;0;0;0
C406G;2013-06-12;22.8;16:00;4.9;05:10;13.8;28;14:30;15;14:30;0;0;0;0;0
C406G;2013-06-13;23.8;16:50;7.6;02:30;15.7;40;10:20;27;10:00;0;0;0;0;0
C406G;2013-06-14;24.7;13:00;11.8;05:10;18.3;37;13:00;23;10:20;0;0;0;0;0
C406G;2013-06-15;25.0;16:20;8.5;06:50;16.8;41;12:20;19;14:10;0;0;0;0;0
C406G;2013-06-16;25.1;16:50;8.9;07:10;17;31;15:10;18;15:10;0;0;0;0;0
C406G;2013-06-17;24.3;14:20;8.2;06:40;16.2;35;17:20;17;17:30;0;0;0;0;0
C406G;2013-06-18;23.4;15:50;6.7;03:50;15;32;14:20;18;08:50;0;0;0;0;0
C406G;2013-06-19;25.0;17:20;7.8;04:10;16.4;39;19:40;28;23:00;0;0;0;0;0
C406G;2013-06-20;24.9;15:30;9.7;05:00;17.3;42;22:40;27;19:30;0;0;0;0;0
