Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C459Z;2013-05-07;25.4;17:00;17.1;07:30;21.3;15;12:10;11;11:50;0;0;0;0;0
C459Z;2013-05-08;25.8;17:20;17.6;07:40;21.7;14;10:10;9;05:50;0;0;0;0;0
C459Z;2013-05-09;26.4;18:10;18.1;06:40;22.3;15;00:20;10;00:20;0;0;0;0;0
C459Z;2013-05-10;25.6;16:20;18.7;06:10;22.2;36;14:40;17;13:10;0;0;0;0;0
C459Z;2013-05-11;25.4;16:50;18.2;06:20;21.8;28;17:40;23;17:40;0;0;0;0;0
C459Z;2013-05-12;24.0;18:10;19.6;06:50;21.8;32;16:50;20;16:50;0;0;0;0;0
C459Z;2013-05-13;25.1;16:20;19.9;23:59;22.5;22;05:50;17;22:30;0;0;0;0;0
C459Z;2013-05-14;22.9;14:40;19.1;05:30;21;32;12:10;24;12:20;0;0;0;0;0
C459Z;2013-05-15;24.1;14:40;18.5;22:50;21.3;31;11:10;23;12:20;0;0;0;0;0
C459Z;2013-05-16;21.8;15:30;16.7;07:00;19.3;45;17:30;35;17:00;0;0;0;0;0
C459Z;2013-05-17;24.1;15:00;16.9;07:40;20.5;30;10:40;20;10:50;0;0;0;0;0
C459Z;2013-05-18;21.8;11:00;17.7;04:50;19.8;49;15:30;37;16:20;0;0;0;0;0
C459Z;2013-05-19;21.0;10:40;17.4;02:20;19.2;46;10:50;35;12:50;0;0;0;0;0
C459Z;2013-05-20;23.0;17:10;17.9;08:30;20.4;41;11:20;32;11:10;0;0;0;0;0
C459Z;2013-05-21;20.4;11:40;16.6;04:40;18.5;48;14:10;36;14:10;0;0;0;0;0
C459Z;2013-05-22;18.0;15:00;11.4;07:00;;30;12:10;20;11:40;;;;0;0
C459Z;2013-05-23;22.3;11:20;17.1;03:40;19.7;29;12:10;23;12:10;0;0;0;0;0
C459Z;2013-05-24;24.3;17:00;16.4;07:20;20.3;24;10:30;18;10:30;0;0;0;0;0
C459Z;2013-05-25;22.9;11:30;17.7;04:40;20.3;31;10:30;23;14:30;0;0;0;0;0
C459Z;2013-05-26;22.1;16:10;18.2;04:20;20.2;36;13:10;25;13:30;0;0;0;0;0
C459Z;2013-05-27;23.0;16:10;17.4;23:59;20.2;34;12:30;23;10:10;0;0;0;0;0
C459Z;2013-05-28;25.4;14:30;16.6;02:00;21;25;22:10;18;10:30;0;0;0;0;0
C459Z;2013-05-29;23.1;18:20;17.8;09:30;20.4;48;11:40;35;11:30;0;0;0;0;0
C459Z;2013-05-30;22.1;15:50;17.5;23:10;19.8;42;20:40;28;19:00;0;0;0;0;0
