Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C612F;2013-05-07;25.6;16:00;14.5;02:00;20.1;26;14:00;14;14:00;0;0;0;0;0
C612F;2013-05-08;26.6;15:50;17.6;05:30;22.1;28;12:20;16;11:40;0;0;0;0;0
C612F;2013-05-09;26.9;15:00;15.1;07:40;21;25;04:00;13;04:00;0;0;0;0;0
C612F;2013-05-10;27.2;15:10;15.9;07:40;21.6;23;23:40;18;23:50;0;0;0;0;0
C612F;2013-05-11;26.0;16:10;15.1;07:30;20.6;31;15:10;20;01:30;0;0;0;0;0
C612F;2013-05-12;25.4;15:40;15.9;22:10;20.6;44;05:20;22;05:30;0;0;0;0;0
C612F;2013-05-13;19.8;17:00;12.9;22:10;16.3;45;16:10;25;14:50;0;0;0;0;0
C612F;2013-05-14;13.8;00:00;5.8;06:20;9.8;33;23:59;19;08:10;0;0;0;0;0
C612F;2013-05-15;13.3;18:10;4.9;07:30;9.1;49;11:50;21;12:40;0.6;0.4;0;0.2;0
C612F;2013-05-16;12.3;15:40;4.3;06:40;8.3;46;08:40;22;08:10;4.6;0;0;2.8;1.8
C612F;2013-05-17;10.1;16:50;3.7;05:40;6.9;36;23:59;19;23:59;4.2;0.4;1.8;1.8;0.2
C612F;2013-05-18;9.8;15:20;4.4;23:59;7.1;38;07:20;21;23:10;0.6;0.2;0.4;0;0
C612F;2013-05-19;22.7;14:00;17.8;03:00;;52;18:10;42;21:50;;0;0.2;;
C612F;2013-05-20;12.2;15:30;3.5;02:50;7.8;31;21:20;22;22:30;0.2;0.2;0;0;0
C612F;2013-05-21;11.7;16:30;4.1;00:20;7.9;36;04:10;24;04:40;0.4;0.2;0;0.2;0
C612F;2013-05-22;12.5;15:40;4.1;06:30;8.3;34;22:40;18;23:50;0;0;0;0;0
C612F;2013-05-23;15.1;18:20;3.0;03:40;9.1;30;00:50;16;04:00;0;0;0;0;0
C612F;2013-05-24;17.4;16:30;4.0;00:00;10.7;15;15:50;9;23:50;0;0;0;0;0
C612F;2013-05-25;18.4;18:30;10.0;01:50;14.2;24;07:20;18;21:10;0;0;0;0;0
C612F;2013-05-26;15.1;11:50;4.7;06:00;9.9;37;21:50;23;22:30;0;0;0;0;0
C612F;2013-05-27;11.9;15:10;4.7;23:50;8.3;45;07:40;31;10:00;1;0.2;0.8;0;0
C612F;2013-05-28;14.3;16:10;4.2;04:40;9.3;38;22:20;28;22:10;0;0;0;0;0
C612F;2013-05-29;15.3;17:40;5.8;03:10;10.6;34;00:50;26;00:50;0.2;0;0.2;0;0
C612F;2013-05-30;12.3;15:10;4.6;07:10;8.5;51;19:50;37;23:50;2;0.4;0;0;1.6
C612F;2013-05-31;13.2;15:30;5.4;22:00;9.3;52;01:40;35;01:30;2;1.4;0.4;0;0.2
C612F;2013-06-01;16.9;15:10;4.9;02:40;10.9;36;00:10;26;00:20;0;0;0;0;0
C612F;2013-06-02;17.5;14:30;9.3;02:00;13.4;37;20:50;23;21:10;0;0;0;0;0
C612F;2013-06-03;22.9;15:10;11.2;00:30;17;23;16:40;16;01:20;0;0;0;0;0
C612F;2013-06-04;16.6;09:30;8.1;23:20;12.4;33;14:50;21;17:20;0;0;0;0;0
C612F;2013-06-05;16.6;16:20;6.8;23:50;11.7;32;21:30;17;23:00;0;0;0;0;0
C612F;2013-06-06;15.4;18:30;5.3;07:50;10.3;42;20:50;29;21:00;0;0;0;0;0
C612F;2013-06-07;16.3;15:10;6.8;23:59;11.5;40;00:50;26;00:30;0;0;0;0;0
C612F;2013-06-08;17.2;14:50;5.6;03:40;11.4;21;11:10;15;20:30;0;0;0;0;0
C612F;2013-06-09;21.3;13:20;7.0;05:00;14.1;20;01:00;15;01:00;0;0;0;0;0
C612F;2013-06-10;20.6;10:10;12.3;05:30;16.5;21;23:50;14;23:30;0;0;0;0;0
C612F;2013-06-11;20.2;16:30;12.1;23:59;16.2;31;20:50;21;21:10;0;0;0;0;0
C612F;2013-06-12;21.7;12:50;12.0;01:40;16.9;27;22:40;21;05:50;0;0;0;0;0
C612F;2013-06-13;20.5;13:50;10.6;08:00;15.6;46;23:59;32;23:10;0;0;0;0;0
C612F;2013-06-14;20.9;14:30;12.6;04:20;16.8;58;04:50;36;07:20;0;0;0;0;0
C612F;2013-06-15;24.0;15:00;13.4;02:30;18.7;46;00:50;30;00:30;0;0;0;0;0
C612F;2013-06-16;26.3;15:00;16.0;23:50;21.1;42;20:50;25;23:59;0;0;0;0;0
C612F;2013-06-17;23.6;13:50;9.1;23:10;16.4;39;21:00;25;21:10;0;0;0;0;0
C612F;2013-06-18;14.8;16:20;6.0;23:30;10.4;39;04:50;23;01:40;0.6;0.2;0.4;0;0
C612F;2013-06-19;16.7;15:20;5.7;03:50;11.2;49;22:50;37;23:59;0;0;0;0;0
