Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C629Q;2013-05-07;23.2;17:10;18.5;04:30;20.9;27;01:10;18;01:10;0;0;0;0;0
C629Q;2013-05-08;24.2;17:50;18.9;07:50;21.6;38;18:20;29;17:20;0;0;0;0;0
C629Q;2013-05-09;26.2;16:40;18.5;05:50;22.4;31;18:20;27;18:20;0;0;0;0;0
C629Q;2013-05-10;24.7;18:50;20.4;01:50;22.6;32;20:10;28;20:10;0;0;0;0;0
C629Q;2013-05-11;25.0;10:50;19.6;05:10;22.3;31;18:50;26;18:50;0;0;0;0;0
C629Q;2013-05-12;23.6;21:30;19.9;06:00;21.8;30;21:00;22;05:20;0;0;0;0;0
C629Q;2013-05-13;23.3;11:50;20.0;06:30;21.6;26;10:10;23;10:10;0;0;0;0;0
C629Q;2013-05-14;22.1;18:50;20.0;05:20;21.1;33;13:10;29;13:10;0;0;0;0;0
C629Q;2013-05-15;20.7;00:40;18.6;07:20;19.7;36;15:20;31;15:30;0;0;0;0;0
C629Q;2013-05-16;20.6;09:20;17.7;07:20;19.2;37;17:50;26;17:50;0;0;0;0;0
C629Q;2013-05-17;20.4;19:50;18.0;07:00;19.2;25;13:50;21;13:50;0;0;0;0;0
C629Q;2013-05-18;21.1;19:30;17.8;07:00;19.4;27;18:00;21;17:10;0;0;0;0;0
C629Q;2013-05-19;23.8;15:40;13.9;07:20;;104;16:40;48;20:10;;0;0;;
C629Q;2013-05-20;21.7;09:20;17.9;06:50;19.8;33;18:00;25;18:00;0;0;0;0;0
C629Q;2013-05-21;21.7;17:00;18.9;07:50;20.3;36;19:10;25;19:10;0;0;0;0;0
C629Q;2013-05-22;21.2;13:20;17.7;06:50;19.5;29;17:10;24;17:10;0;0;0;0;0
C629Q;2013-05-23;20.9;19:30;17.8;05:30;19.3;24;15:30;19;18:00;0;0;0;0;0
C629Q;2013-05-24;20.7;18:40;18.9;05:30;19.8;28;20:30;22;20:00;0;0;0;0;0
C629Q;2013-05-25;21.1;20:00;18.4;04:20;19.8;27;19:10;21;19:10;0;0;0;0;0
C629Q;2013-05-26;20.8;19:20;19.0;05:10;19.9;30;17:30;27;17:30;0;0;0;0;0
C629Q;2013-05-27;21.0;11:40;19.2;04:20;20.1;30;16:20;23;16:20;0;0;0;0;0
C629Q;2013-05-28;21.9;15:00;18.3;07:40;20.1;28;17:40;21;20:20;0;0;0;0;0
C629Q;2013-05-29;22.5;17:00;18.5;05:00;20.5;26;15:30;20;15:40;0;0;0;0;0
C629Q;2013-05-30;20.6;09:20;18.4;07:10;19.5;29;15:00;25;15:30;0;0;0;0;0
C629Q;2013-05-31;20.8;17:20;18.1;05:30;19.4;27;16:00;22;16:00;0;0;0;0;0
C629Q;2013-06-01;21.1;18:30;18.9;05:30;20;26;19:50;22;20:00;0;0;0;0;0
C629Q;2013-06-02;21.2;18:50;17.6;07:20;19.4;22;15:00;19;14:40;0;0;0;0;0
C629Q;2013-06-03;21.2;17:50;18.2;06:50;19.7;24;11:40;19;11:10;0;0;0;0;0
C629Q;2013-06-04;20.8;18:30;19.0;06:50;19.9;27;15:50;22;15:50;0;0;0;0;0
C629Q;2013-06-05;21.8;19:00;19.3;07:00;20.5;26;16:20;22;16:20;0;0;0;0;0
C629Q;2013-06-06;21.0;11:20;19.4;04:20;20.2;27;16:30;22;16:30;0;0;0;0;0
C629Q;2013-06-07;21.2;15:30;18.9;06:10;20.1;27;16:00;23;16:00;0;0;0;0;0
C629Q;2013-06-08;21.1;10:30;19.6;06:50;20.4;32;19:30;27;19:30;0;0;0;0;0
C629Q;2013-06-09;21.9;18:30;18.9;06:30;20.4;28;19:30;24;19:30;0;0;0;0;0
C629Q;2013-06-10;20.9;16:50;19.2;06:50;20.1;23;14:30;19;19:40;0;0;0;0;0
C629Q;2013-06-11;22.7;19:20;19.0;04:10;20.9;24;14:40;20;20:30;0;0;0;0;0
C629Q;2013-06-12;22.2;19:10;18.5;07:10;20.4;33;14:10;25;14:20;0;0;0;0;0
C629Q;2013-06-13;22.1;19:10;19.0;05:30;20.6;31;16:00;28;17:40;0;0;0;0;0
C629Q;2013-06-14;22.5;20:10;19.7;05:10;21.1;31;14:40;27;14:30;0;0;0;0;0
