Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C635B;2013-05-07;29.4;15:10;17.9;05:40;23.6;24;14:50;12;14:50;0;0;0;0;0
C635B;2013-05-08;29.8;14:10;19.1;02:50;24.4;22;13:50;10;13:50;0;0;0;0;0
C635B;2013-05-09;30.8;15:30;19.5;06:40;25.1;23;15:20;11;14:10;0;0;0;0;0
C635B;2013-05-10;31.2;15:10;19.6;06:40;25.4;24;12:20;11;02:00;0;0;0;0;0
C635B;2013-05-11;30.7;15:20;19.9;07:50;25.3;27;13:40;11;16:30;0;0;0;0;0
C635B;2013-05-12;28.4;12:50;20.4;03:00;24.4;41;05:50;18;05:50;0;0;0;0;0
C635B;2013-05-13;27.9;11:10;15.0;23:59;21.4;29;09:10;16;09:00;0;0;0;0;0
C635B;2013-05-14;21.1;12:00;12.5;23:20;16.8;37;22:50;17;21:50;0;0;0;0;0
C635B;2013-05-15;21.3;13:50;10.0;07:20;15.6;41;01:00;19;01:00;0;0;0;0;0
C635B;2013-05-16;20.7;12:00;8.8;06:40;14.8;23;11:30;10;15:10;0;0;0;0;0
C635B;2013-05-17;18.4;16:30;9.3;07:10;13.8;25;02:30;9;14:30;0;0;0;0;0
C635B;2013-05-18;19.4;11:30;8.7;06:30;14;23;11:40;12;10:40;0;0;0;0;0
C635B;2013-05-19;22.4;16:50;19.1;04:30;;33;23:40;20;20:30;;0;0;;
C635B;2013-05-20;20.8;13:40;9.3;07:40;15;28;13:50;12;13:50;0;0;0;0;0
C635B;2013-05-21;20.2;14:00;9.4;07:30;14.8;25;13:20;10;14:30;0;0;0;0;0
C635B;2013-05-22;19.7;12:20;8.5;07:40;14.1;23;15:30;10;10:20;0;0;0;0;0
C635B;2013-05-23;20.6;14:50;8.1;06:30;14.4;23;14:40;10;15:10;0;0;0;0;0
C635B;2013-05-24;21.3;16:10;9.5;05:00;15.4;24;16:00;10;14:00;0;0;0;0;0
C635B;2013-05-25;22.1;15:30;10.7;07:40;16.4;25;17:20;10;03:50;0;0;0;0;0
C635B;2013-05-26;20.6;14:50;10.6;07:40;15.6;27;14:50;11;14:50;0;0;0;0;0
C635B;2013-05-27;20.9;14:20;8.9;07:20;14.9;28;14:30;13;17:50;0;0;0;0;0
C635B;2013-05-28;19.8;13:40;9.9;06:10;14.8;27;13:30;10;13:30;0;0;0;0;0
C635B;2013-05-29;21.3;14:10;9.9;05:00;15.6;32;13:20;12;14:30;0;0;0;0;0
C635B;2013-05-30;21.7;16:00;11.4;05:00;16.6;23;15:30;9;12:40;0;0;0;0;0
C635B;2013-05-31;21.7;15:20;10.1;03:20;15.9;22;15:40;9;12:40;0;0;0;0;0
C635B;2013-06-01;23.5;15:30;8.3;07:10;15.9;27;15:50;10;12:30;0;0;0;0;0
C635B;2013-06-02;25.0;12:30;12.5;07:00;18.8;25;15:20;10;17:00;0;0;0;0;0
C635B;2013-06-03;25.4;14:00;13.6;04:40;19.5;26;13:50;10;13:20;0;0;0;0;0
C635B;2013-06-04;21.9;13:20;10.9;06:30;16.4;26;14:30;12;14:30;0;0;0;0;0
C635B;2013-06-05;20.2;11:50;12.1;07:20;16.2;21;11:30;10;11:30;0;0;0;0;0
C635B;2013-06-06;22.7;15:10;10.1;04:40;16.4;22;13:20;9;13:30;0;0;0;0;0
C635B;2013-06-07;23.9;14:50;10.0;04:20;16.9;25;15:10;11;14:00;0;0;0;0;0
C635B;2013-06-08;23.2;15:30;10.9;07:10;17.1;22;15:50;9;16:20;0;0;0;0;0
C635B;2013-06-09;23.7;13:50;10.4;06:30;17.1;29;15:00;10;12:10;0;0;0;0;0
C635B;2013-06-10;23.4;15:50;10.9;06:50;17.1;21;15:30;10;15:30;0;0;0;0;0
C635B;2013-06-11;25.4;14:00;10.7;04:10;18;24;16:10;10;13:40;0;0;0;0;0
C635B;2013-06-12;26.8;14:50;15.4;04:10;21.1;24;14:20;10;13:20;0;0;0;0;0
C635B;2013-06-13;26.6;14:40;15.2;07:40;20.9;22;13:10;10;13:10;0;0;0;0;0
C635B;2013-06-14;27.9;16:50;16.9;04:40;22.4;25;12:40;10;14:20;0;0;0;0;0
C635B;2013-06-15;30.8;15:00;18.3;07:20;24.5;24;16:30;10;12:20;0;0;0;0;0
C635B;2013-06-16;28.9;14:00;18.8;07:00;23.8;22;14:00;11;13:30;0;0;0;0;0
C635B;2013-06-17;27.4;13:10;16.4;23:59;21.9;23;15:30;12;10:50;0;0;0;0;0
C635B;2013-06-18;24.7;14:20;14.0;06:50;19.4;25;13:40;12;09:50;0;0;0;0;0
C635B;2013-06-19;24.9;15:30;13.3;06:00;19.1;29;13:50;9;11:40;0;0;0;0;0
C635B;2013-06-20;25.9;16:00;14.9;07:40;20.4;21;23:50;10;10:40;0;0;0;0;0
C635B;2013-06-21;28.7;11:50;18.4;07:30;23.6;32;11:10;15;00:20;0;0;0;0;0
C635B;2013-06-22;28.0;15:20;16.8;06:20;22.4;24;15:00;11;13:10;0;0;0;0;0
C635B;2013-06-23;28.8;14:00;16.4;06:00;22.6;27;14:50;11;15:20;0;0;0;0;0
C635B;2013-06-24;27.7;15:50;18.3;03:10;23;21;14:00;10;14:00;0;0;0;0;0
C635B;2013-06-25;28.3;16:10;20.7;06:50;24.5;19;15:40;10;15:20;0;0;0;0;0
C635B;2013-06-26;32.9;15:00;20.1;06:20;26.5;23;15:00;10;14:40;0;0;0;0;0
C635B;2013-06-27;36.7;16:00;22.8;07:00;29.8;22;12:40;10;12:10;0;0;0;0;0
C635B;2013-06-28;36.4;15:10;26.0;08:10;31.2;76;23:59;49;23:59;0;0;0;0;0
C635B;2013-06-29;31.1;10:40;24.5;23:59;27.8;77;00:50;48;00:10;0;0;0;0;0
C635B;2013-06-30;31.4;14:30;20.1;07:00;25.8;62;01:40;29;01:30;0;0;0;0;0
C635B;2013-07-01;31.6;14:10;19.3;05:20;25.4;41;11:00;22;09:20;0;0;0;0;0
C635B;2013-07-02;31.1;14:20;19.7;05:00;25.4;33;12:40;20;15:20;0;0;0;0;0
C635B;2013-07-03;33.0;14:10;20.3;07:10;26.6;28;23:59;15;23:59;0;0;0;0;0
C635B;2013-07-04;29.8;14:10;20.0;23:20;24.9;26;16:50;11;14:00;0;0;0;0;0
C635B;2013-07-05;28.3;15:20;17.5;22:30;22.9;22;13:10;10;12:40;0;0;0;0;0
C635B;2013-07-06;27.5;15:00;17.0;05:30;22.3;22;15:30;10;13:20;0;0;0;0;0
C635B;2013-07-07;28.3;13:00;19.6;07:00;23.9;21;16:00;11;14:30;0;0;0;0;0
C635B;2013-07-08;29.5;15:20;18.6;05:00;24.1;19;13:30;12;05:10;0;0;0;0;0
C635B;2013-07-09;36.1;12:10;21.7;00:30;28.9;33;00:30;14;00:30;0;0;0;0;0
C635B;2013-07-10;37.1;13:10;24.9;07:10;31;25;15:10;11;14:20;0;0;0;0;0
C635B;2013-07-11;34.5;11:50;25.1;23:00;29.8;78;23:40;42;21:50;0;0;0;0;0
C635B;2013-07-12;35.5;13:00;25.0;01:30;30.3;81;01:40;50;01:10;0;0;0;0;0
C635B;2013-07-13;34.7;12:10;24.0;07:20;29.4;46;00:10;29;00:50;0;0;0;0;0
C635B;2013-07-14;35.8;14:00;24.5;03:00;30.1;26;16:00;10;15:30;0;0;0;0;0
C635B;2013-07-15;35.5;13:50;25.7;07:50;30.6;39;13:20;15;14:00;0;0;0;0;0
C635B;2013-07-16;33.0;14:10;25.5;23:40;29.3;60;09:10;37;10:50;0;0;0;0;0
C635B;2013-07-17;34.4;13:20;23.7;06:50;29.1;37;14:00;17;15:20;0;0;0;0;0
C635B;2013-07-18;34.5;13:40;23.1;04:20;28.8;23;13:10;10;16:50;0;0;0;0;0
C635B;2013-07-19;31.6;14:20;21.5;23:40;26.6;37;18:10;19;18:20;0;0;0;0;0
C635B;2013-07-20;29.9;13:30;18.1;23:59;24;22;13:20;10;12:20;0;0;0;0;0
C635B;2013-07-21;29.3;13:10;18.0;00:10;23.6;26;15:30;11;14:40;0;0;0;0;0
C635B;2013-07-22;28.8;15:40;19.1;07:00;23.9;24;15:40;11;12:30;0;0;0;0;0
C635B;2013-07-23;30.2;12:50;19.1;05:20;24.7;24;14:40;11;15:30;0;0;0;0;0
C635B;2013-07-24;30.4;15:50;20.0;05:00;25.2;25;15:10;12;15:10;0;0;0;0;0
C635B;2013-07-25;30.8;13:10;20.1;22:50;25.4;31;15:30;10;14:30;0;0;0;0;0
C635B;2013-07-26;28.9;15:00;17.7;07:40;23.3;24;13:00;12;17:40;0;0;0;0;0
C635B;2013-07-27;27.7;13:10;17.6;01:40;22.7;23;15:20;11;12:30;0;0;0;0;0
C635B;2013-07-28;31.1;15:30;20.5;06:10;25.8;26;15:30;10;13:10;0;0;0;0;0
