Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C648C;2013-05-07;29.3;14:50;16.6;06:50;22.9;27;00:50;18;00:30;0;0;0;0;0
C648C;2013-05-08;30.3;13:40;18.3;02:00;24.3;30;06:40;19;06:40;0;0;0;0;0
C648C;2013-05-09;33.6;15:30;20.1;06:00;26.8;45;23:20;31;23:40;0;0;0;0;0
C648C;2013-05-10;31.8;17:50;22.6;02:50;27.2;48;14:40;32;01:40;0;0;0;0;0
C648C;2013-05-11;32.0;14:10;21.5;23:40;26.8;52;01:00;41;01:00;0;0;0;0;0
C648C;2013-05-12;29.3;14:40;17.0;06:50;23.1;54;06:40;38;06:20;0;0;0;0;0
C648C;2013-05-13;26.6;14:00;18.9;07:50;;46;14:50;28;13:10;;0;0;0;
C648C;2013-05-14;23.7;11:10;18.6;06:20;;52;10:50;28;12:10;;0;0;0;
C648C;2013-05-15;24.2;16:00;18.3;04:30;;59;14:20;35;14:20;;0;0;0;
C648C;2013-05-16;23.8;14:30;15.3;07:30;;45;20:00;28;19:20;;0;0;;
C648C;2013-05-17;23.9;16:30;16.7;05:40;;49;12:30;31;10:40;;0;0;0;
C648C;2013-05-18;22.6;14:40;16.1;03:20;;55;19:00;35;18:20;;0;0.8;0;
C648C;2013-05-19;22.4;16:50;19.1;04:30;;33;23:40;20;20:30;;0;0;;
C648C;2013-05-20;21.3;14:30;14.7;06:20;18;61;23:10;45;23:30;0;0;0;0;0
C648C;2013-05-21;22.6;14:40;17.1;05:20;;51;12:20;31;12:30;;0;0;0;
C648C;2013-05-22;22.8;14:40;16.7;04:50;;46;22:00;29;17:50;;0;0;0;
C648C;2013-05-23;22.8;14:50;16.9;04:00;;53;13:40;31;12:40;;0;0;0;
C648C;2013-05-24;23.6;14:50;17.0;07:20;;53;17:30;33;17:40;;0;0;0;
C648C;2013-05-25;23.2;13:10;17.8;05:10;;57;15:40;35;15:40;;0;0;0;
C648C;2013-05-26;23.1;15:00;17.6;02:30;;59;14:00;41;13:00;;0;0;0;
C648C;2013-05-27;23.4;14:40;17.8;08:40;;58;15:50;36;13:10;;0;0;0;
C648C;2013-05-28;23.4;14:50;17.4;06:10;;51;00:20;30;14:20;;0;0;0;
C648C;2013-05-29;23.4;16:50;17.9;03:10;;48;15:20;29;21:50;;0;0.4;0.2;
C648C;2013-05-30;24.4;14:40;17.7;04:40;;63;18:10;39;16:30;;0;0;0;
C648C;2013-05-31;22.9;13:50;18.1;06:30;;62;15:00;41;15:20;;0;0;0;
C648C;2013-06-01;24.3;14:40;17.9;02:10;;57;15:20;36;14:30;;0;0;0;
C648C;2013-06-02;28.6;16:30;13.0;05:30;20.8;45;22:40;30;23:20;0;0;0;0;0
C648C;2013-06-03;24.5;14:40;17.0;06:20;;51;15:50;31;15:50;;0;0;0;
C648C;2013-06-04;24.1;13:40;17.7;05:10;;46;16:50;25;16:10;;0;0;0;
C648C;2013-06-05;24.3;14:40;18.4;05:40;;51;14:30;32;18:40;;0;0;0;
C648C;2013-06-06;23.3;14:00;18.2;02:00;;58;12:20;37;16:30;;0;0;0;
C648C;2013-06-07;26.0;15:50;17.8;05:50;;36;16:20;21;17:00;;0;0;0;
C648C;2013-06-08;23.4;14:40;18.1;05:50;;64;16:50;41;15:40;;0;0;0;
C648C;2013-06-09;23.5;14:40;17.5;07:00;;63;17:50;36;17:00;;0;0;0;
C648C;2013-06-10;23.5;16:40;17.9;01:00;;59;16:20;37;16:20;;0;0;0;
