Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C659H;2013-05-07;26.7;14:40;16.2;02:50;;19;23:40;11;23:40;;;;;
C659H;2013-05-08;27.9;12:00;16.1;07:00;;31;19:00;17;18:40;;;;;
C659H;2013-07-03;22.2;17:50;19.1;07:20;20.7;42;14:00;27;14:00;0;0;0;0;0
C659H;2013-07-04;21.9;12:30;19.0;22:40;20.4;47;15:10;27;15:10;0;0;0;0;0
C659H;2013-07-05;22.5;14:40;19.6;00:00;21.1;54;14:50;32;14:30;0;0;0;0;0
C659H;2013-07-06;22.8;15:50;20.1;05:20;21.4;46;14:40;27;23:59;0;0;0;0;0
C659H;2013-07-07;22.6;15:00;20.6;02:50;21.6;50;20:20;30;21:30;0;0;0;0;0
C659H;2013-07-08;22.6;14:10;20.5;04:10;21.6;48;14:40;30;14:50;0;0;0;0;0
C659H;2013-07-09;26.8;16:40;20.5;06:30;23.6;63;07:50;39;07:50;0;0;0;0;0
C659H;2013-07-10;25.2;00:20;20.9;04:00;23.1;65;13:00;40;20:10;0;0;0;0;0
C659H;2013-07-11;27.2;13:50;20.4;03:00;23.8;62;16:10;37;02:10;0;0;0;0;0
C659H;2013-07-12;25.6;02:00;21.1;06:50;23.4;49;00:50;30;04:30;0;0;0;0;0
C659H;2013-07-13;25.7;15:20;20.6;07:20;23.2;39;12:10;25;12:00;0;0;0;0;0
C659H;2013-07-14;23.7;11:40;20.8;06:50;22.3;40;20:50;24;20:50;0;0;0;0;0
C659H;2013-07-15;23.0;15:20;20.3;04:40;21.6;42;17:10;27;18:10;0;0;0;0;0
C659H;2013-07-16;22.6;14:20;20.5;06:10;21.6;52;14:50;37;16:10;0;0;0;0;0
C659H;2013-07-17;23.4;16:00;20.4;04:10;21.9;51;04:40;35;04:20;0;0;0;0;0
C659H;2013-07-18;22.5;14:40;20.4;07:00;21.4;53;19:50;32;19:10;0;0;0;0;0
C659H;2013-07-19;23.6;15:00;20.6;06:00;22.1;50;23:50;33;16:50;0;0;0;0;0
C659H;2013-07-20;23.2;14:30;21.0;05:10;22.1;49;03:50;30;00:40;0;0;0;0;0
C659H;2013-07-21;24.6;15:30;20.2;08:30;22.4;40;02:40;26;02:40;0;0;0;0;0
C659H;2013-07-22;23.4;15:20;21.2;08:20;22.3;39;17:40;21;18:20;0;0;0;0;0
C659H;2013-07-23;24.6;16:00;21.2;01:20;22.9;34;18:10;19;19:20;0;0;0;0;0
C659H;2013-07-24;24.4;15:40;21.1;03:30;22.8;46;20:50;30;20:00;0;0;0;0;0
C659H;2013-07-25;24.4;14:20;21.4;06:50;22.9;43;15:30;25;05:20;0;0;0;0;0
C659H;2013-07-26;25.5;16:10;21.7;05:30;23.6;32;05:50;22;05:50;0;0;0;0;0
C659H;2013-07-27;26.7;17:00;21.1;07:00;23.9;27;00:30;17;00:10;0;0;0;0;0
C659H;2013-07-28;26.4;15:50;21.7;05:10;24.1;37;22:40;21;22:30;0;0;0;0;0
C659H;2013-07-29;24.4;16:10;22.2;13:20;23.3;46;15:10;28;16:20;0.1;0;0;0.1;0
C659H;2013-07-30;24.9;14:10;22.0;06:30;23.4;48;23:00;31;19:20;0;0;0;0;0
C659H;2013-07-31;23.9;14:30;21.8;06:50;22.8;55;12:50;36;12:50;0;0;0;0;0
C659H;2013-08-01;23.9;12:40;21.9;06:40;22.9;53;15:00;33;15:00;0;0;0;0;0
C659H;2013-08-02;24.6;13:40;21.9;05:00;23.3;46;16:10;29;14:10;0;0;0;0;0
C659H;2013-08-03;24.1;12:40;21.9;06:50;23;49;17:50;29;16:20;0;0;0;0;0
C659H;2013-08-04;24.3;15:50;21.7;03:20;23;53;19:40;34;19:50;0;0;0;0;0
C659H;2013-08-05;23.9;14:10;21.4;04:10;22.6;51;16:00;32;16:10;0;0;0;0;0
C659H;2013-08-06;24.2;13:20;21.6;05:00;22.9;48;10:20;34;10:10;0;0;0;0;0
C659H;2013-08-07;23.3;14:50;19.0;06:00;;33;01:50;21;18:00;;0;;;
C659H;2013-08-08;23.5;14:30;19.1;04:40;;40;14:50;19;19:00;;;0;0;0
C659H;2013-08-09;23.8;14:40;21.3;05:50;22.5;49;18:50;28;19:10;0;0;0;0;0
C659H;2013-08-10;24.9;14:50;21.2;07:00;23.1;62;23:50;37;23:50;0;0;0;0;0
C659H;2013-08-11;23.8;15:50;21.5;08:00;22.6;65;21:40;39;21:20;0.1;0;0;0;0.1
C659H;2013-08-12;24.2;15:00;22.0;06:10;23.1;69;23:59;41;23:30;0.1;0.1;0;0;0
C659H;2013-08-13;24.6;16:10;22.4;06:00;23.5;61;01:00;39;00:10;0;0;0;0;0
C659H;2013-08-14;25.1;17:40;21.9;07:30;23.5;55;11:40;33;09:00;0;0;0;0;0
C659H;2013-08-15;27.2;16:10;22.8;05:00;25;50;11:30;34;11:30;0;0;0;0;0
C659H;2013-08-16;27.2;18:50;22.8;05:00;25;40;14:20;28;14:00;0;0;0;0;0
C659H;2013-08-17;33.5;13:00;24.0;22:40;28.8;52;23:59;29;23:59;0;0;0;0;0
C659H;2013-08-18;25.2;16:00;22.7;04:30;24;57;07:10;33;07:10;0;0;0;0;0
C659H;2013-08-19;27.0;15:20;22.9;04:40;24.9;40;01:50;26;01:30;0;0;0;0;0
C659H;2013-08-20;27.4;16:00;23.3;06:40;25.3;57;23:30;31;23:10;0.1;0;0;0;0.1
C659H;2013-08-21;31.7;17:00;23.9;05:20;27.8;63;20:00;37;20:00;0;0;0;0;0
C659H;2013-08-22;26.5;16:00;23.8;01:00;25.1;58;00:50;37;17:40;0;0;0;0;0
C659H;2013-08-23;29.3;12:50;23.6;23:40;26.4;56;02:40;29;02:00;0;0;0;0;0
C659H;2013-08-24;26.7;15:50;23.1;22:00;24.9;40;17:40;27;17:30;0;0;0;0;0
C659H;2013-08-25;25.3;15:40;21.5;06:20;23.4;41;17:00;24;17:40;0.1;0;0.1;0;0
C659H;2013-08-26;25.3;12:50;22.5;00:50;23.9;46;16:30;28;14:30;0;0;0;0;0
C659H;2013-08-27;25.2;15:50;21.4;12:00;23.3;46;15:40;28;23:20;0.5;0;0.5;0;0
C659H;2013-08-28;25.3;12:10;21.9;08:40;23.6;52;15:10;30;19:50;0;0;0;0;0
C659H;2013-08-29;25.4;14:00;22.3;05:10;23.8;36;13:50;22;13:50;0;0;0;0;0
C659H;2013-08-30;26.3;12:00;22.1;03:40;24.2;29;18:50;18;18:50;0;0;0;0;0
C659H;2013-08-31;25.9;12:20;22.3;04:40;24.1;47;15:40;20;20:10;0;0;0;0;0
C659H;2013-09-01;26.1;14:50;22.7;02:40;24.4;41;18:40;28;18:10;0;0;0;0;0
C659H;2013-09-02;25.7;15:40;22.8;04:50;24.3;47;11:10;27;02:10;0;0;0;0;0
