Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C659M;2013-11-05;24.7;15:20;20.9;05:30;22.8;15;12:30;9;11:10;0;0;0;0;0
C659M;2013-11-06;24.4;13:40;21.2;06:20;22.8;19;16:00;10;16:00;0;0;0;0;0
C659M;2013-11-07;24.7;14:20;21.7;07:10;23.2;21;17:30;9;17:40;0;0;0;0;0
C659M;2013-11-08;24.5;12:30;21.6;00:30;23.1;26;14:00;14;10:40;0.2;0.1;0;0;0.1
C659M;2013-11-09;23.8;13:00;21.1;04:40;22.4;33;20:30;17;20:30;0.8;0.7;0.1;0;0
C659M;2013-11-10;23.0;13:50;21.2;07:10;22.1;26;08:30;12;09:50;0;0;0;0;0
C659M;2013-11-11;23.8;11:20;21.1;05:30;22.4;26;12:50;12;16:40;0;0;0;0;0
C659M;2013-11-12;23.8;14:00;21.5;04:00;22.6;24;16:50;12;16:30;0;0;0;0;0
C659M;2013-11-13;24.4;12:10;20.8;07:30;22.6;23;21:40;9;14:40;0;0;0;0;0
C659M;2013-11-14;22.8;15:10;20.6;08:40;21.7;26;08:50;12;12:30;0.9;0;0.9;0;0
C659M;2013-11-15;23.9;12:00;20.5;04:40;22.2;40;20:40;9;00:10;0;0;0;0;0
C659M;2013-11-16;23.3;12:20;20.7;04:20;22;29;22:10;9;18:50;0;0;0;0;0
C659M;2013-11-17;21.7;11:30;18.9;07:20;20.3;37;09:50;13;05:30;0.4;0.2;0.2;0;0
C659M;2013-11-18;22.6;13:40;19.4;00:00;21;37;16:00;16;15:40;0;0;0;0;0
C659M;2013-11-19;22.5;15:30;18.2;07:10;20.4;36;09:40;15;20:20;1.8;0;0.4;0;1.4
C659M;2013-11-20;22.9;12:40;17.8;03:40;20.3;30;03:20;14;03:20;0.1;0.1;0;0;0
C659M;2013-11-22;22.5;13:00;18.6;06:20;20.6;26;12:00;13;16:50;0.2;0;0;0.1;0.1
