Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
C839I;2013-05-07;22.8;16:30;16.5;04:20;;22;12:30;13;18:50;;;;0;0
C839I;2013-05-08;25.9;16:10;16.4;07:30;;24;13:20;17;13:20;;;;0;0
C839I;2013-07-03;24.1;16:30;18.4;05:10;21.3;50;03:20;28;03:50;0;0;0;0;0
C839I;2013-07-04;24.6;16:20;19.4;06:10;;31;03:20;22;03:10;;;;;
C839I;2013-07-05;24.8;17:10;19.9;05:40;;24;10:30;19;14:40;;;;;0
C839I;2013-07-06;24.2;13:40;19.4;05:30;21.8;38;13:40;18;23:59;0;0;0;0;0
C839I;2013-07-07;24.7;14:50;19.6;05:30;22.2;39;14:00;25;12:00;0;0;0;0;0
C839I;2013-07-08;24.4;14:40;20.4;08:00;;28;12:30;20;13:40;;;;;
C839I;2013-07-09;24.2;12:40;20.5;06:20;;34;04:00;20;14:40;;;;;
C839I;2013-07-10;23.9;14:20;20.1;06:50;;30;05:20;18;20:40;;;;0;0
C839I;2013-07-11;27.4;16:30;20.2;01:50;23.8;39;19:50;28;19:50;0;0;0;0;0
C839I;2013-07-12;26.2;14:40;19.6;06:30;22.9;55;17:10;34;17:10;0;0;0;0;0
C839I;2013-07-13;26.6;14:50;18.0;07:00;22.3;51;14:40;32;14:40;0;0;0;0;0
C839I;2013-07-14;25.4;13:50;19.7;06:10;22.6;55;17:10;31;17:40;0;0;0;0;0
C839I;2013-07-15;25.4;15:50;20.2;03:30;22.8;55;16:30;31;16:30;0;0;0;0;0
C839I;2013-07-16;26.0;16:00;19.9;03:40;22.9;45;10:50;28;11:30;0;0;0;0;0
C839I;2013-07-17;26.0;16:30;19.2;07:00;22.6;41;14:40;22;13:30;0;0;0;0;0
C839I;2013-07-18;25.7;15:20;19.7;04:50;22.7;52;21:40;31;19:30;0;0;0;0;0
C839I;2013-07-19;26.1;14:10;19.6;06:40;;36;15:10;21;15:00;;0;;;
C839I;2013-07-20;27.0;10:10;19.8;06:30;;33;14:10;23;16:00;;;;;0
C839I;2013-07-21;24.2;15:40;20.6;04:30;22.4;54;11:50;32;08:00;0;0;0;0;0
C839I;2013-07-22;25.4;16:30;20.1;06:00;;45;15:10;33;14:50;;;;;
C839I;2013-07-23;25.7;11:20;19.6;06:00;;33;11:10;22;11:10;;;;;0
C839I;2013-07-24;26.1;16:00;20.2;01:10;23.2;51;16:30;28;06:30;0;0;0;0;0
C839I;2013-07-25;26.2;16:20;20.0;02:30;23.1;53;18:00;31;11:00;0;0;0;0;0
